move,waitedResult,optionChosen,movementTime
1,1,0,2.793602
2,2,0,2.144699
3,0,0,1.495598
4,1,1,1.479500
5,2,2,0.798401
6,0,0,1.114998
7,1,1,1.330399
8,2,2,1.413704
9,0,0,1.446602
10,1,1,1.962097
11,2,2,1.395905
12,1,0,1.528694
13,1,1,1.445396
14,2,2,1.164200
15,1,0,1.512901
16,1,1,1.263397
17,2,2,1.197205
18,1,1,0.730789
19,1,1,1.362396
20,2,2,1.278809
21,0,1,1.263611
22,1,1,1.063705
23,2,2,1.330704
24,1,0,1.032196
25,1,1,1.296692
26,2,2,1.396210
27,0,1,0.964005
28,1,1,0.981094
29,2,2,1.479095
30,0,1,1.014389
31,1,1,0.914093
32,2,2,1.229996
33,0,0,0.848190
34,1,1,1.047501
35,2,2,1.163895
36,0,0,1.279892
37,1,1,0.981003
38,2,2,1.296402
39,0,0,1.080307
40,1,1,1.396606
41,2,2,0.798096
42,0,0,0.498886
43,1,1,0.881195
44,2,2,0.749390
45,0,0,0.582504
46,1,1,1.081009
47,2,2,0.580887
48,0,0,0.748001
49,1,1,0.764008
50,2,2,0.814606
51,1,0,0.864502
52,1,1,0.665497
53,2,2,0.682205
54,1,1,0.482193
55,1,1,0.680801
56,2,2,0.864899
57,1,1,0.499405
58,1,1,0.798187
59,2,2,0.748093
60,0,1,0.731308
61,1,1,0.432007
62,2,2,0.648193
63,1,0,0.615204
64,1,1,0.664505
65,2,2,0.715210
66,0,0,2.394302
67,1,1,0.614700
68,2,2,0.848801
69,0,0,0.781601
70,1,1,0.682495
71,2,2,0.915512
72,1,0,1.080994
73,1,1,0.781494
74,2,2,0.997223
75,0,1,0.547791
76,1,1,0.415192
77,2,2,0.547302
78,0,0,0.997589
79,1,1,0.531982
80,2,2,0.548218
81,0,1,0.432190
82,1,1,0.415894
83,2,2,0.682098
84,0,0,1.645721
85,1,1,0.415802
86,2,2,0.731873
87,0,0,0.548798
88,1,1,0.665375
89,2,2,1.014099
90,1,0,0.796906
91,1,1,0.482422
92,2,2,0.580811
93,0,1,0.414581
94,1,1,0.381897
95,2,2,0.797882
96,1,0,0.448425
97,1,1,0.399109
98,2,2,0.614410
99,0,0,0.581787
100,1,1,0.582184
101,2,2,0.930206
102,1,1,0.914185
103,1,1,0.598694
104,2,2,0.715027
105,1,0,0.631287
106,1,1,0.465302
107,2,2,0.598511
108,0,0,0.498810
109,1,1,0.515411
110,2,2,0.548492
111,0,1,0.748810
112,1,1,0.332520
113,2,2,0.731598
114,1,1,0.382202
115,1,1,0.581909
116,2,2,0.449005
117,0,0,0.415405
118,1,1,0.446991
119,2,2,0.531708
120,1,1,0.498413
121,1,1,0.599213
122,2,2,0.482208
123,0,0,0.730713
124,1,1,0.464111
125,2,2,0.548615
126,0,1,0.548615
127,1,1,0.432190
128,2,2,0.481598
129,0,1,0.597900
130,1,1,0.232086
131,2,2,0.498901
132,0,0,0.415405
133,1,1,0.431580
134,2,2,0.481903
135,0,0,0.464874
136,1,1,0.415192
137,2,2,0.448395
138,1,0,0.432404
139,1,1,0.449280
140,2,2,0.548798
141,1,0,0.431915
142,1,1,0.465790
143,2,2,0.432098
144,0,1,0.498810
145,1,1,0.266602
146,2,2,0.449005
147,1,1,0.448303
148,1,1,0.481995
149,2,2,0.482819
150,0,1,0.614990
151,1,1,0.148804
152,2,2,0.349487
153,0,1,0.498779
154,1,1,0.232086
155,2,2,0.432282
156,0,0,0.481690
157,1,1,0.548187
158,2,2,0.598602
159,0,0,0.566010
160,1,1,0.432282
161,2,2,0.516113
162,0,0,0.515320
163,1,1,0.532013
164,2,2,0.748200
165,0,0,0.615082
166,1,1,0.399200
167,2,2,0.582398
168,0,0,0.399689
169,1,1,0.382202
170,2,2,0.448883
171,1,0,0.482788
172,1,1,0.282410
173,2,2,0.814423
174,0,1,0.316101
175,1,1,0.199402
176,2,2,0.397705
177,1,0,0.365601
178,1,1,0.266998
179,2,2,0.432312
180,0,1,0.814575
181,1,1,0.880524
182,2,2,0.481995
183,0,0,0.315888
184,1,1,0.249298
185,2,2,0.548279
186,0,0,0.365295
187,1,1,0.365601
188,2,2,0.498016
189,0,0,0.498200
190,1,1,0.465607
191,2,2,0.530701
192,0,0,0.465515
193,1,1,0.431885
194,2,2,0.514679
195,0,0,0.549408
196,1,1,0.282623
197,2,2,0.282684
198,0,1,0.381195
199,1,1,0.232819
200,2,2,0.464600
201,1,0,0.364929
202,1,1,0.431702
203,2,2,0.398193
204,0,0,0.349976
205,1,1,0.299805
206,2,2,0.481873
207,1,0,2.244324
208,1,1,0.232605
209,2,2,0.399414
210,0,0,0.831177
211,1,1,0.266419
212,2,2,0.465698
213,1,0,0.366455
214,1,1,0.348999
215,2,2,0.382568
216,0,0,0.232666
217,1,1,0.348877
218,2,2,0.481873
219,0,0,0.332398
220,1,1,0.299133
221,2,2,0.498901
222,0,0,0.380493
223,1,1,0.647278
224,2,2,0.398987
225,0,0,0.532410
226,1,1,0.466187
227,2,2,0.499085
228,1,1,1.146973
229,1,1,0.432312
230,2,2,0.398132
231,0,0,0.365479
232,1,1,0.265869
233,2,2,0.465088
234,0,1,0.382996
235,1,1,0.199463
236,2,2,0.565125
237,0,1,0.431397
238,1,1,0.082886
239,2,2,0.447693
240,1,0,0.465759
241,1,1,1.263611
242,2,2,0.166748
243,0,0,0.399597
244,1,1,0.681641
245,2,2,0.748596
246,0,0,0.831543
247,1,1,0.564209
248,2,2,0.549194
249,1,0,0.415405
250,1,1,0.581055
251,2,2,0.149292
252,0,0,0.382202
253,1,1,0.349060
254,2,2,0.532105
255,0,1,0.283203
256,1,1,0.099854
257,2,2,0.448181
258,1,0,0.299377
259,1,1,0.398804
260,2,2,0.581909
261,0,0,0.333191
262,1,1,0.382080
263,2,2,0.415405
264,0,0,0.415588
265,1,1,0.398804
266,2,2,0.432312
267,0,0,0.466919
268,1,1,0.365723
269,2,2,0.614868
270,0,0,0.714539
271,1,1,0.349304
272,2,2,0.532288
273,0,1,0.332886
274,1,1,0.150330
275,2,2,0.482483
276,0,1,0.249207
277,1,1,0.149475
278,2,2,0.548401
279,0,1,0.315979
280,1,1,0.216431
281,2,2,0.398438
282,0,1,0.499207
283,1,1,0.216003
284,2,2,0.482422
285,0,1,0.315857
286,1,1,0.249512
287,2,2,0.449585
288,0,0,0.248840
289,1,1,0.266296
290,2,2,0.466003
291,0,0,0.199524
292,1,1,0.665100
293,2,2,0.481812
294,0,0,0.365723
295,1,1,0.331970
296,2,2,0.449219
297,0,0,0.331604
298,1,1,0.331665
299,2,2,0.382507
300,0,0,0.415100
301,1,1,0.332581
302,2,2,0.265991
303,0,0,0.199280
304,1,1,0.299439
305,2,2,0.232666
306,0,0,0.415405
307,1,1,0.300476
308,2,2,0.465942
309,0,0,0.366333
310,1,1,0.399109
311,2,2,0.681885
312,0,0,0.449097
313,1,1,0.298706
314,2,2,0.548218
315,1,0,0.432800
316,1,1,0.447876
317,2,2,0.232544
318,1,0,0.383179
319,1,1,0.382202
320,2,2,0.283325
321,0,1,0.299011
322,1,1,0.664246
323,2,2,0.398926
324,0,0,0.763794
325,1,1,0.348999
326,2,2,0.232544
327,0,0,0.315125
328,1,1,0.381897
329,2,2,0.664978
330,0,0,0.481812
331,1,1,0.482422
332,2,2,0.615418
333,0,0,0.498596
334,1,1,0.315979
335,2,1,1.728821
336,0,0,4.671997
337,1,1,0.732544
338,2,2,0.631958
339,1,0,0.914917
340,1,0,2.045166
341,2,2,3.475281
342,1,1,1.113892
343,1,0,1.778870
344,2,1,0.415527
345,0,1,0.398193
346,1,1,2.809937
347,2,2,0.964539
348,0,1,0.531799
349,1,1,0.431335
350,2,2,0.681641
351,1,0,0.515686
352,1,1,0.631836
353,2,2,0.548950
354,1,0,0.530945
355,1,1,0.415955
356,2,2,0.881104
357,0,1,0.415649
358,1,1,0.149719
359,2,2,0.499146
360,1,1,0.515015
361,1,1,0.565125
362,2,2,0.631714
363,0,1,0.432556
364,1,1,0.216065
365,2,2,0.631592
366,0,1,0.482605
367,1,1,0.581848
368,2,2,0.615479
369,0,1,0.564819
370,1,1,0.216126
371,2,2,0.386353
372,1,0,0.315613
373,1,1,0.564209
374,2,2,0.415222
375,1,1,0.515320
376,1,1,0.431824
377,2,2,0.498291
378,1,0,0.498413
379,1,1,0.448181
380,2,2,0.465332
381,1,1,0.482788
382,1,1,0.315796
383,2,2,0.348511
384,0,1,0.398987
385,1,1,0.098877
386,2,2,0.299011
387,0,1,0.316223
388,1,1,0.133118
389,2,2,0.515198
390,0,1,0.182922
391,1,1,0.282715
392,2,2,0.366577
393,1,0,0.299255
394,1,1,0.449219
395,2,2,0.348938
396,0,1,0.382507
397,1,1,0.049438
398,2,2,0.299805
399,0,1,1.030884
400,1,1,0.215515
401,2,2,0.165649
402,0,0,0.316284
403,1,1,0.232910
404,2,2,0.366577
405,1,0,0.365845
406,1,1,0.299072
407,2,2,0.200134
408,0,1,0.266052
409,1,1,0.083374
410,2,2,0.315918
411,1,0,0.298706
412,1,1,0.498596
413,2,2,0.182922
414,0,1,0.498474
415,1,1,0.050110
416,2,2,0.282654
417,1,1,0.299011
418,1,1,0.366821
419,2,2,0.249085
420,0,0,0.431885
421,1,1,0.265991
422,2,2,0.349060
423,0,1,0.548401
424,1,1,0.265381
425,2,2,0.299316
426,0,0,0.299377
427,1,1,0.315491
428,2,2,0.382446
429,0,1,0.698425
430,1,1,0.100403
431,2,2,0.382507
432,0,0,0.281921
433,1,1,0.282288
434,2,2,0.249085
435,1,0,0.531860
436,1,1,0.449402
437,2,2,0.449097
438,0,0,0.365295
439,1,1,0.332153
440,2,2,0.548889
441,0,0,0.864136
442,1,1,0.132813
443,2,2,0.332092
444,0,1,0.215881
445,1,1,0.630127
446,2,2,0.498901
447,0,0,0.482117
448,1,1,0.299011
449,2,2,0.415039
450,0,0,0.349609
451,1,1,0.265747
452,2,2,0.499023
453,0,0,0.581665
454,1,1,0.332642
455,2,2,0.513916
456,0,0,0.448364
457,1,1,0.432373
458,2,2,0.265747
459,0,0,0.547730
460,1,1,0.714478
461,2,2,0.498535
462,0,0,0.466553
463,1,1,0.315552
464,2,2,0.465088
465,0,0,0.366455
466,1,1,0.382568
467,2,2,0.548340
468,0,0,0.382446
469,1,1,0.132446
470,2,2,0.565186
471,0,0,0.332031
472,1,1,0.249512
473,2,2,0.565918
474,1,0,0.348755
475,1,1,0.548096
476,2,2,0.383057
477,0,1,0.398804
478,1,1,0.681763
479,2,2,0.366577
480,0,0,0.299194
481,1,1,0.249390
482,2,2,0.531372
483,0,0,0.382690
484,1,1,0.282715
485,2,2,0.564819
486,1,0,0.315308
487,1,1,0.515381
488,2,2,0.382202
489,0,0,0.365601
490,1,1,0.265869
491,2,2,0.398926
492,1,0,0.548096
493,1,1,0.432861
494,2,2,0.565430
495,0,0,0.282105
496,1,1,0.216065
497,2,2,0.399170
498,1,0,0.382202
499,1,1,0.232788
500,2,2,0.182617
501,0,0,0.747559
502,1,1,0.282227
503,2,2,0.332398
504,0,1,0.315552
505,1,1,0.116089
506,2,2,0.415894
507,0,1,0.416016
508,1,1,0.165649
509,2,2,0.331909
510,0,0,0.283203
511,1,1,0.266602
512,2,2,0.415039
513,1,0,0.365723
514,1,1,0.382202
515,2,2,0.365356
516,0,0,0.332886
517,1,1,0.049683
518,2,2,0.398804
519,1,1,0.116089
520,1,1,0.415405
521,2,2,0.448853
522,0,1,0.283203
523,1,1,0.132813
524,2,2,0.249146
525,0,0,0.149658
526,1,1,0.215942
527,2,2,0.282349
528,0,0,0.348999
529,1,1,0.314575
530,2,2,0.316406
531,0,0,0.332398
532,1,1,0.316040
533,2,2,0.332886
534,1,0,0.298462
535,1,1,0.265747
536,2,2,0.267090
537,0,0,0.681641
538,1,1,0.282227
539,2,2,0.448486
540,0,1,0.365723
541,1,1,0.131592
542,2,2,0.532105
543,0,0,0.265625
544,1,1,0.249512
545,2,2,0.464966
546,1,0,0.332153
547,1,1,0.282593
548,2,2,0.299805
549,1,0,0.149780
550,1,1,0.780640
551,2,2,0.183106
552,0,0,0.232666
553,1,1,0.232788
554,2,2,0.282715
555,1,0,0.382202
556,1,1,0.231323
557,2,2,0.199707
558,0,1,0.216675
559,1,1,0.015991
560,2,2,0.182617
561,0,0,0.149902
562,1,1,0.232910
563,2,2,0.332031
564,1,0,0.133667
565,1,1,0.182861
566,2,2,0.315796
567,0,0,0.249390
568,1,1,0.182861
569,2,2,0.332031
570,0,0,0.165772
571,1,1,0.232666
572,2,2,0.298950
573,1,1,0.099487
574,1,1,0.364624
575,2,2,0.299316
576,0,0,0.382568
577,1,1,0.315430
578,2,2,0.282837
579,0,0,0.215576
580,1,1,0.198120
581,2,2,0.249634
582,0,0,2.011963
583,1,1,0.248535
584,2,2,0.364624
585,0,0,0.631958
586,1,1,0.215820
587,2,2,0.415649
588,0,0,0.365723
589,1,1,0.366577
590,2,2,0.381836
591,1,1,0.215942
592,1,1,0.415894
593,2,2,0.249146
594,1,0,0.448120
595,1,1,0.664917
596,2,2,0.216431
597,0,0,0.249390
598,1,1,0.515015
599,2,2,0.233521
600,0,0,3.126709
601,1,1,0.116699
602,2,2,0.200073
603,0,0,0.415894
604,1,1,0.198731
605,2,2,0.381592
606,0,0,0.215210
607,1,1,1.013550
608,2,2,0.215698
609,0,0,0.216919
610,1,1,0.432495
611,2,2,0.381714
612,0,1,0.316162
613,1,1,0.182251
614,2,2,0.282715
615,0,1,0.266113
616,1,1,0.249512
617,2,2,0.482422
618,1,1,0.332886
619,1,1,0.449463
620,2,2,0.265869
621,0,0,0.432007
622,1,1,0.199097
623,2,2,0.265015
624,0,1,0.298096
625,1,1,0.083130
626,2,2,0.182739
627,0,0,0.232300
628,1,1,0.215942
629,2,2,0.315796
630,0,0,0.382080
631,1,1,0.232300
632,2,2,0.465698
633,0,0,0.481690
634,1,1,0.266968
635,2,2,0.299194
636,0,0,0.366577
637,1,1,0.298218
638,2,2,0.365601
639,0,0,0.316162
640,1,1,0.249268
641,2,2,0.415894
642,0,0,0.365479
643,1,1,0.349121
644,2,2,0.398682
645,0,0,0.282593
646,1,1,0.248657
647,2,2,0.349365
648,0,0,0.266357
649,1,1,0.199341
650,2,2,0.332153
651,0,0,0.147949
652,1,1,0.332520
653,2,2,0.415405
654,0,0,0.215942
655,1,1,0.299194
656,2,2,0.315186
657,0,0,0.298584
658,1,1,0.216065
659,2,2,0.415527
660,0,0,0.365967
661,1,1,0.166016
662,2,2,0.331787
663,0,0,0.182861
664,1,1,0.216065
665,2,2,0.365845
666,1,0,0.266235
667,1,1,0.415161
668,2,2,0.217529
669,0,1,2.027954
670,1,1,0.831055
671,2,2,0.846802
672,0,0,0.814575
673,1,1,0.365601
674,2,2,0.432129
675,0,0,0.415649
676,1,1,0.398315
677,2,2,0.448975
678,1,0,0.598389
679,1,1,0.664551
680,2,2,0.432129
681,1,0,0.365845
682,1,1,0.483765
683,2,2,0.382080
684,0,0,0.265869
685,1,1,0.265747
686,2,2,0.415527
687,0,0,0.864624
688,1,1,0.332520
689,2,2,1.113892
690,0,0,0.365356
691,1,1,0.332275
692,2,2,0.500000
693,0,0,0.348999
694,1,1,0.299194
695,2,2,0.465332
696,0,0,0.315186
697,1,1,0.548706
698,2,2,0.481812
699,1,0,0.315186
700,1,1,1.911987
701,2,2,0.630981
702,0,0,0.482056
703,1,1,0.465576
704,2,2,0.515259
705,0,0,0.399170
706,1,1,0.399292
707,2,2,0.499023
708,0,0,0.399170
709,1,1,0.432495
710,2,2,0.781494
711,0,0,0.581665
712,1,1,0.598877
713,2,2,0.348999
714,0,1,0.864502
715,1,1,0.198731
716,2,2,0.598389
717,0,0,0.465210
718,1,1,1.080688
719,2,2,0.947876
720,0,0,0.631714
721,1,1,1.197021
