move,waitedResult,optionChosen,movementTime
1,0,2,5.767105
2,1,0,4.126602
3,2,2,4.215500
4,0,0,2.383102
5,1,1,1.016800
6,2,2,1.999100
7,0,0,1.683411
8,1,1,1.899796
9,2,2,1.782608
10,0,0,2.066910
11,1,1,1.065399
12,2,2,1.250198
13,0,0,1.199799
14,1,1,0.734604
15,2,2,0.733704
16,1,0,0.582901
17,1,1,2.499695
18,2,2,2.549500
19,0,0,1.065613
20,1,1,0.566101
21,2,1,1.001801
22,1,2,0.981110
23,1,2,1.766998
24,2,1,2.177002
25,0,0,2.417480
26,1,1,1.132721
27,2,2,0.882721
28,1,0,1.063293
29,1,1,1.966003
30,2,1,1.384399
31,1,0,3.416504
32,1,1,1.900085
33,2,2,2.399200
34,0,0,1.113892
35,1,1,1.733612
36,2,2,2.616516
37,0,1,1.268585
38,1,1,2.915894
39,2,1,1.714783
40,0,0,3.813690
41,1,1,1.832886
42,2,1,2.266693
43,0,2,3.366913
44,1,0,2.366394
45,2,1,1.164886
46,0,0,2.749115
47,1,1,2.665405
48,2,1,2.615601
49,0,0,1.449005
50,1,1,1.215485
51,2,2,0.932800
52,0,0,1.732483
53,1,1,1.316406
54,2,2,1.283020
55,0,0,1.066223
56,1,1,0.763611
57,2,2,1.017212
58,0,0,0.715485
59,1,1,0.300415
60,2,2,0.617004
61,0,0,1.948181
62,1,1,0.582214
63,2,2,0.615906
64,0,0,0.984497
65,1,1,0.899292
66,2,2,0.798798
67,1,0,2.249420
68,1,1,0.533295
69,2,1,2.849976
70,0,1,2.431488
71,1,1,0.600098
72,2,2,0.700897
73,0,0,0.866180
74,1,1,0.368713
75,2,1,0.667297
76,1,0,0.883820
77,1,0,1.549194
78,2,0,2.419189
79,0,0,2.200500
80,1,1,1.133698
81,2,2,2.016876
82,0,0,2.716095
83,1,1,2.516205
84,2,2,0.999695
85,0,0,1.215698
86,1,1,0.601105
87,2,2,0.833374
88,0,1,1.983002
89,1,1,0.733215
90,2,2,1.432098
91,1,1,1.416199
92,1,1,0.916290
93,2,1,1.748901
94,0,0,0.284210
95,1,1,0.649780
96,2,2,0.732300
97,0,0,1.183014
98,1,1,0.949402
99,2,2,1.398682
100,0,0,1.066589
101,1,1,1.056122
102,2,2,0.682495
103,0,1,1.782898
104,1,1,0.233093
105,2,1,1.666199
106,0,0,0.483215
107,1,1,0.549713
108,2,2,0.583405
109,0,0,1.066193
110,1,1,0.548889
111,2,2,0.865601
112,0,1,1.383789
113,1,1,0.681702
114,2,2,0.498840
115,1,0,1.397827
116,1,1,0.299011
117,2,1,1.132263
118,0,1,1.465698
119,1,1,0.598816
120,2,2,0.499329
121,0,0,0.483032
122,1,1,0.515198
123,2,2,0.232361
124,0,0,0.581726
125,1,1,0.482422
126,2,2,0.566040
127,0,1,0.665588
128,1,1,0.216492
129,2,2,0.547791
130,0,1,2.997986
131,1,1,0.033569
132,2,2,0.217102
133,1,0,0.517029
134,1,1,0.366516
135,2,2,1.415588
136,0,0,0.565369
137,1,1,0.549988
138,2,2,0.466797
139,0,0,0.298828
140,1,1,0.300415
141,2,2,0.281860
142,0,0,0.399414
143,1,1,0.200073
144,2,2,0.231873
145,0,1,0.767334
146,1,1,3.665710
147,2,2,0.849731
148,0,0,0.600464
149,1,1,0.416565
150,2,2,0.483093
151,0,1,0.399414
152,1,1,0.131897
153,2,2,0.501099
154,1,0,0.833069
155,1,1,0.447998
156,2,2,2.146912
157,0,0,0.547791
158,1,1,0.416077
159,2,2,0.481384
160,0,0,0.615234
161,1,1,0.784668
162,2,2,0.449951
163,0,0,0.382629
164,1,1,0.600220
165,2,2,0.332336
166,0,0,1.081299
167,1,1,0.448486
168,2,2,0.366150
169,0,0,0.731812
170,1,1,0.750000
171,2,2,0.432922
172,1,1,0.617676
173,1,1,0.965820
174,2,2,0.782471
175,0,0,0.750794
176,1,1,0.483154
177,2,2,0.181885
178,1,0,0.832825
179,1,1,0.886719
180,2,2,0.599243
181,0,0,0.682678
182,1,1,0.582581
183,2,2,0.584168
184,0,0,0.782349
185,1,1,0.400208
186,2,2,0.331909
187,0,0,2.415405
188,1,1,0.283203
189,2,2,0.315979
190,0,0,0.432434
191,1,1,0.252808
192,2,2,0.399597
193,0,0,1.815002
194,1,1,0.298401
195,2,2,0.315002
196,1,1,0.714294
197,1,1,0.465515
198,2,2,1.181702
199,1,0,0.515808
200,1,1,0.582886
201,2,2,1.198669
202,1,0,0.483643
203,1,1,0.967224
204,2,2,0.616455
205,0,0,0.432861
206,1,1,0.499512
207,2,2,0.349609
208,0,0,0.633423
209,1,1,0.614929
210,2,2,0.465515
211,0,0,0.465576
212,1,1,0.267395
213,2,2,0.282349
214,0,0,0.415405
215,1,1,0.149292
216,2,2,0.264526
217,0,0,0.566528
218,1,1,0.181580
219,2,2,0.614929
220,0,1,0.465881
221,1,1,0.533386
222,2,2,0.231323
223,0,0,1.498108
224,1,1,0.297974
225,2,2,0.332092
226,0,1,0.833435
227,1,1,0.231506
228,2,2,0.751465
229,0,0,0.498779
230,1,1,0.548950
231,2,1,1.615112
232,0,1,1.214722
233,1,1,0.599793
234,2,2,0.564575
235,0,0,0.348694
236,1,1,0.200134
237,2,2,1.415649
238,1,0,0.415283
239,1,1,2.531311
240,2,2,0.482605
241,0,0,0.500061
242,1,1,0.300415
243,2,2,0.466614
244,0,0,1.049072
245,1,1,0.366699
246,2,2,0.467102
247,0,0,0.684204
248,1,1,0.432800
249,2,2,0.366211
250,0,0,0.549500
251,1,1,0.351624
252,2,2,0.516785
253,1,0,0.683289
254,1,1,0.499573
255,2,2,2.416016
256,1,0,0.467224
257,1,1,0.700012
258,2,1,0.652161
259,0,0,0.850586
260,1,1,0.749207
261,2,2,1.699585
262,1,0,0.448853
263,1,1,1.565735
264,2,2,0.665588
265,0,0,1.735107
266,1,1,0.582520
267,2,2,0.816284
268,0,0,1.316406
269,1,1,0.349487
270,2,2,0.400024
271,0,0,1.483093
272,1,1,0.398132
273,2,2,0.483765
274,1,0,0.831421
275,1,2,4.331970
276,2,2,0.902039
277,1,0,0.500183
278,1,1,1.181702
279,2,2,0.914978
280,0,0,1.166809
281,1,1,0.391480
282,2,2,0.569397
283,0,0,1.398926
284,1,2,1.866516
285,2,2,1.116760
286,0,1,2.299194
287,1,1,0.282654
288,2,2,0.450501
289,0,1,1.199646
290,1,1,1.199402
291,2,2,1.516296
292,0,0,1.933716
293,1,1,0.433594
294,2,2,0.465637
295,0,0,0.349304
296,1,1,0.432678
297,2,2,0.366882
298,1,0,0.433411
299,1,2,3.565369
300,2,2,3.265686
301,0,1,1.385925
302,1,1,0.215637
303,2,2,0.432922
304,0,0,1.232849
305,1,1,0.166687
306,2,2,0.282898
307,0,0,0.883057
308,1,1,0.247986
309,2,2,0.366211
310,0,0,0.382874
311,1,1,0.266846
312,2,2,0.264954
313,0,0,0.248596
314,1,1,0.198975
315,2,2,0.215332
316,0,0,0.414490
317,1,1,0.266541
318,2,2,0.748596
319,1,0,0.248596
320,1,1,0.166138
321,2,2,1.699280
322,0,0,0.667481
323,1,1,0.331787
324,2,2,1.114197
325,0,0,0.365418
326,1,1,0.183960
327,2,2,1.632813
328,0,0,0.665405
329,1,1,0.565613
330,2,2,0.415100
331,0,0,0.648071
332,1,1,0.350586
333,2,2,0.631531
334,1,0,1.233398
335,1,0,2.682251
336,2,2,1.448975
337,1,0,1.248657
338,1,0,5.798096
339,2,1,0.766235
340,0,1,1.349609
341,1,1,0.682495
342,2,2,0.916138
343,0,1,1.583130
344,1,1,0.250122
345,2,2,1.199097
346,0,0,1.649658
347,1,1,0.383545
348,2,2,0.916992
349,0,0,1.032104
350,1,1,0.414795
351,2,2,0.700073
352,1,0,0.848633
353,1,1,1.399536
354,2,2,1.167236
355,0,0,0.535034
356,1,1,0.400269
357,2,1,5.848999
358,0,0,0.666870
359,1,1,0.249512
360,2,2,0.366699
361,1,0,0.385010
362,1,1,0.799561
363,2,2,3.917236
364,0,0,1.051636
365,1,1,0.499756
366,2,2,0.700317
367,0,0,0.414429
368,1,1,0.432861
369,2,2,0.650269
370,0,0,0.899414
371,1,1,0.781738
372,2,2,0.283691
373,0,0,0.499512
374,1,1,0.283569
375,2,2,0.350464
376,0,0,0.497925
377,1,1,0.648926
378,2,2,0.415894
379,0,1,0.899292
380,1,1,0.500244
381,2,2,0.933106
382,0,1,1.212891
383,1,1,0.298950
384,2,2,0.333374
385,1,0,1.216431
386,1,1,0.548462
387,2,1,1.764771
388,0,0,1.798218
389,1,1,0.264771
390,2,2,0.183472
391,0,0,0.299439
392,1,1,0.098877
393,2,2,0.164917
394,0,0,0.215820
395,1,1,0.065796
396,2,2,0.216797
397,0,0,0.348999
398,1,1,0.450195
399,2,2,0.264648
400,0,0,0.233154
401,1,1,0.149536
402,2,2,0.282715
403,0,0,0.248291
404,1,1,0.085449
405,2,2,0.163940
406,0,0,0.049805
407,1,1,0.200440
408,2,2,0.216675
409,0,1,0.150147
410,1,1,0.181763
411,2,2,0.399902
412,0,1,0.284058
413,1,1,0.416870
414,2,2,0.447510
415,0,1,0.249146
416,1,1,0.349731
417,2,2,0.531860
418,0,1,0.831055
419,1,1,0.283203
420,2,2,0.283081
421,1,0,0.298096
422,1,1,2.464966
423,2,2,0.434448
424,1,0,0.747437
425,1,1,0.582398
426,2,1,0.982544
427,0,0,0.765381
428,1,1,0.049561
429,2,1,0.066040
430,1,0,1.049561
431,1,1,0.551148
432,2,2,1.032471
433,0,0,0.350830
434,1,1,0.100342
435,2,2,0.178101
436,0,0,0.285034
437,1,1,0.101196
438,2,2,0.166992
439,0,0,0.334961
440,1,1,0.032227
441,2,2,0.116455
442,0,0,0.250122
443,1,1,1.566650
444,2,2,0.116821
445,0,0,0.234131
446,1,1,1.466553
447,2,2,0.132202
448,0,0,0.115967
449,1,1,0.117310
450,2,2,0.083130
451,0,0,0.250244
452,1,1,0.133667
453,2,2,0.197632
454,1,0,0.251465
455,1,1,0.517212
456,2,2,0.482666
457,0,0,0.282715
458,1,1,0.068604
459,2,2,0.066406
460,0,0,0.150147
461,1,1,0.016724
462,2,2,0.082642
463,0,0,0.283447
464,1,1,1.232178
465,2,2,0.166626
466,0,0,0.351074
467,1,1,0.066772
468,2,2,1.533081
469,1,0,0.067749
470,1,1,0.182739
471,2,2,0.200073
472,0,0,0.384522
473,1,1,1.032104
474,2,2,0.119141
475,1,0,0.200317
476,1,1,0.234253
477,2,2,0.214356
478,0,0,0.191284
479,1,1,1.081543
480,2,2,0.050293
481,0,0,0.216309
482,1,1,0.032837
483,2,2,1.082764
484,1,0,0.599854
485,1,1,0.200195
486,2,2,0.134399
487,0,0,0.134033
488,1,1,0.849121
489,2,2,0.293457
490,1,0,0.199707
491,1,1,0.214600
492,2,2,0.352051
493,1,0,0.149292
494,1,1,0.266235
495,2,2,0.298828
496,0,1,0.583984
497,1,1,0.082642
498,2,2,0.266846
499,0,0,0.183472
500,1,1,0.116821
501,2,2,0.032837
502,0,0,0.283569
503,1,1,0.048706
504,2,2,0.033691
505,0,0,0.133789
506,1,1,1.532837
507,2,2,0.016357
508,0,0,0.117188
509,1,1,1.183838
510,2,2,0.050171
511,0,0,0.117065
512,1,1,0.933716
513,2,2,0.082642
514,0,0,0.133423
515,1,1,1.216064
516,2,2,0.250855
517,0,0,0.300415
518,1,1,0.083374
519,2,2,1.116821
520,0,0,0.266724
521,1,1,0.016479
522,2,2,0.066162
523,0,0,0.285400
524,1,1,0.966431
525,2,2,0.100952
526,1,0,0.633423
527,1,1,0.333496
528,2,2,0.283691
529,0,0,0.600098
530,1,1,0.432861
531,2,2,0.132935
532,0,0,0.132080
533,1,1,0.616455
534,2,2,0.300293
535,1,0,0.248901
536,1,1,0.284790
537,2,2,0.249512
538,0,0,0.217529
539,1,1,0.066772
540,2,2,0.167603
541,0,0,0.250244
542,1,2,0.501099
543,2,2,0.533569
544,0,0,0.367065
545,1,1,0.249634
546,2,2,0.218262
547,0,0,0.233276
548,1,1,0.064697
549,2,2,0.034912
550,0,0,0.416626
551,1,1,1.149292
552,2,2,0.567017
553,0,0,0.933228
554,1,2,0.148438
555,2,1,0.244263
556,0,0,0.451660
557,1,1,0.267700
558,2,2,0.166504
559,0,0,0.635010
560,1,1,0.033813
561,2,2,0.167358
562,0,0,0.201782
563,1,1,0.899292
564,2,2,0.066650
565,0,0,0.165039
566,1,1,0.700806
567,2,2,0.048706
568,0,0,0.083984
569,1,1,0.866333
570,2,2,0.034302
571,0,0,0.167236
572,1,1,0.148804
573,2,2,0.099243
574,1,0,0.300903
575,1,1,0.382813
576,2,2,0.534668
577,0,0,2.666016
578,1,1,0.293945
579,2,2,0.184692
580,0,0,0.522949
581,1,1,0.098022
582,2,2,0.100098
583,1,0,0.201416
584,1,1,0.433106
585,2,2,0.516968
586,0,0,0.216309
587,1,1,0.267090
588,2,2,0.314941
589,0,0,0.266480
590,1,1,0.034912
591,2,2,0.850586
592,0,0,0.200440
593,1,1,1.166626
594,2,2,0.117065
595,1,0,0.815918
596,1,1,0.350098
597,2,2,0.433472
598,0,0,0.201294
599,1,1,0.784180
600,2,2,0.132935
601,0,0,0.050049
602,1,1,0.051636
603,2,2,1.767090
604,0,0,0.101318
605,1,1,0.015747
606,2,2,0.050659
607,0,0,0.282349
608,1,1,1.268066
609,2,2,0.167358
610,0,0,0.167114
611,1,1,0.151611
612,2,2,0.085571
613,0,0,0.015503
614,1,1,0.116699
615,2,2,0.315308
616,0,0,0.199951
617,1,1,0.233154
618,2,2,0.399170
619,0,0,0.366699
620,1,1,0.099609
