move,waitedResult,optionChosen,movementTime
1,2,0,6.081703
2,0,0,1.853500
3,1,1,2.971802
4,2,1,1.719704
5,1,0,3.223701
6,1,2,1.553299
7,2,1,0.285301
8,0,2,0.651505
9,1,2,0.516701
10,2,2,0.484795
11,0,0,2.972496
12,1,1,1.034698
13,2,2,1.268600
14,1,0,1.886993
15,1,0,1.369095
16,2,0,0.517395
17,1,0,0.534302
18,1,0,0.451111
19,2,0,0.300491
20,0,0,0.734909
21,1,0,0.450989
22,2,1,1.068405
23,0,2,0.350693
24,1,0,1.018799
25,2,1,0.233810
26,1,2,0.250198
27,1,2,1.218689
28,2,1,0.768204
29,0,2,1.269485
30,1,0,1.636703
31,2,1,1.135406
32,0,2,0.601196
33,1,1,1.520203
34,2,2,1.503006
35,0,1,0.985397
36,1,0,1.235809
37,2,1,0.384201
38,0,1,0.652313
39,1,1,0.250000
40,2,2,3.290802
41,0,0,1.703812
42,1,1,0.551209
43,2,2,0.818207
44,0,0,0.935410
45,1,1,0.617798
46,2,2,0.484192
47,1,0,0.534699
48,1,1,0.718201
49,2,0,1.319199
50,0,1,1.202606
51,1,0,0.968491
52,2,2,0.801392
53,0,2,1.119095
54,1,1,1.135406
55,2,1,1.687103
56,0,0,1.219208
57,1,1,1.503510
58,2,2,0.701096
59,0,1,4.175797
60,1,1,1.018692
61,2,2,0.735199
62,0,1,1.068512
63,1,1,1.051697
64,2,2,0.534500
65,0,1,0.601105
66,1,1,1.519501
67,2,2,0.802307
68,0,0,0.901703
69,1,1,0.417511
70,2,2,0.451202
71,0,1,1.018494
72,1,1,1.069214
73,2,2,7.632996
74,0,1,0.533997
75,1,1,0.534210
76,2,2,2.856079
77,0,1,0.501404
78,1,1,0.517914
79,2,2,36.963290
80,0,1,3.474304
81,1,1,0.301178
82,2,2,0.567810
83,0,0,0.600983
84,1,1,0.317200
85,2,2,0.501190
86,1,1,0.584900
87,1,0,0.500702
88,2,1,1.286194
89,0,0,0.431793
90,1,2,0.701294
91,2,1,0.216797
92,0,1,0.534699
93,1,0,0.049805
94,2,2,0.884705
95,1,0,0.534790
96,1,1,0.417297
97,2,0,0.834808
98,0,2,0.283783
99,1,1,0.651306
100,2,0,0.334290
101,0,2,0.250397
102,1,2,0.501099
103,2,2,0.316803
104,0,0,0.718323
105,1,1,2.137604
106,2,2,0.367127
107,0,1,0.433991
108,1,1,0.300598
109,2,2,0.400604
110,1,1,0.334198
111,1,0,0.434296
112,2,1,0.166504
113,0,2,0.417419
114,1,0,0.250397
115,2,1,0.300903
116,0,2,1.252502
117,1,2,1.002380
118,2,2,0.433991
119,1,0,0.951325
120,1,2,0.582001
121,2,1,0.316101
122,1,2,0.601288
123,1,1,0.117401
124,2,1,0.534302
125,0,2,0.083496
126,1,0,0.734802
127,2,1,0.166412
128,0,0,0.768005
129,1,2,1.001221
130,2,1,0.368378
131,0,2,0.100311
132,1,2,0.167206
133,2,2,0.166596
134,0,2,0.534790
135,1,1,0.266693
136,2,1,0.518005
137,0,0,0.868713
138,1,2,2.271912
139,2,2,1.152374
140,0,1,0.551483
141,1,1,0.300385
142,2,1,1.036896
143,1,1,0.350708
144,1,0,0.584381
145,2,1,0.401001
146,0,1,0.700897
147,1,1,0.417999
148,2,2,1.503296
149,0,0,1.035492
150,1,1,1.420013
151,2,1,0.618103
152,1,1,0.216705
153,1,0,1.085205
154,2,0,1.269196
155,0,0,0.685089
156,1,2,3.039703
157,2,1,0.701386
158,0,2,0.551300
159,1,2,1.987488
160,2,2,0.584381
161,0,1,0.484497
162,1,0,0.183991
163,2,2,0.634460
164,0,1,0.902649
165,1,0,0.434265
166,2,1,0.601502
167,0,2,0.667969
168,1,2,0.534729
169,2,2,0.183594
170,1,2,0.534119
171,1,2,0.501282
172,2,2,0.149841
173,0,0,1.570129
174,1,1,1.737366
175,2,1,0.935120
176,0,2,0.083313
177,1,2,0.484314
178,2,2,0.384399
179,1,1,1.035400
180,1,0,1.069397
181,2,0,1.185486
182,1,0,0.300903
183,1,0,0.267151
184,2,1,0.383789
185,0,2,0.250916
186,1,2,0.701477
187,2,2,0.350403
188,1,1,0.634094
189,1,1,0.484070
190,2,0,0.618469
191,0,0,0.651672
192,1,0,0.684753
193,2,1,0.249817
194,0,0,0.433716
195,1,2,0.935608
196,2,1,0.484253
197,1,2,0.167236
198,1,1,0.250916
199,2,1,0.484314
200,0,1,2.355164
201,1,2,38.951050
202,2,1,0.684998
203,0,0,0.300903
204,1,0,0.718201
205,2,1,0.451599
206,0,0,1.352905
207,1,1,1.386047
208,2,1,0.617798
209,1,2,0.718445
210,1,1,0.484497
211,2,0,0.651062
212,0,0,0.451294
213,1,2,1.436523
214,2,2,0.635193
215,0,1,1.019104
216,1,0,0.200317
217,2,2,1.286194
218,0,0,0.784973
219,1,1,0.334168
220,2,1,0.818237
221,0,2,0.701538
222,1,2,0.534912
223,2,2,0.233276
224,0,0,0.801697
225,1,1,1.954224
226,2,2,1.068481
227,0,0,0.884888
228,1,1,0.435425
229,2,2,0.484070
230,1,0,0.634705
231,1,1,0.451233
232,2,0,0.701416
233,0,0,0.517578
234,1,1,0.417603
235,2,1,0.434815
236,0,0,0.233398
237,1,2,0.751526
238,2,2,0.751221
