move,waitedResult,optionChosen,movementTime
1,1,1,2.938499
2,2,0,0.850899
3,0,0,1.300797
4,1,2,1.433891
5,2,1,0.983810
6,1,0,1.083496
7,1,2,1.166901
8,2,2,1.466904
9,1,0,0.634094
10,1,1,2.867401
11,2,0,0.667603
12,0,2,4.184708
13,1,1,3.417801
14,2,2,1.416794
15,0,1,1.567200
16,1,1,0.449799
17,2,0,1.966797
18,0,0,1.317398
19,1,1,0.466904
20,2,2,0.583405
21,1,0,1.617401
22,1,1,3.851105
23,2,2,0.917007
24,0,0,0.766693
25,1,1,0.750504
26,2,2,1.401093
27,0,1,0.449707
28,1,1,0.533188
29,2,2,2.434006
30,0,0,0.417099
31,1,1,0.566803
32,2,2,1.033310
33,0,0,2.834595
34,1,1,0.600205
35,2,2,0.883896
36,1,0,0.466797
37,1,1,3.434204
38,2,0,0.900208
39,0,1,0.633301
40,1,2,1.066910
41,2,2,0.533310
42,0,0,0.366608
43,1,1,0.400192
44,2,1,1.133606
45,0,0,0.233505
46,1,1,0.550201
47,2,2,0.883804
48,0,0,0.966995
49,1,1,0.350098
50,2,2,1.133209
51,0,0,0.566803
52,1,1,0.533493
53,2,2,0.900024
54,1,0,0.368805
55,1,1,1.800690
56,2,2,1.067322
57,1,0,0.550201
58,1,1,0.449799
59,2,2,0.717194
60,0,1,0.200378
61,1,1,0.115997
62,2,2,0.983795
63,0,0,0.333496
64,1,1,0.533478
65,2,2,0.500214
66,0,0,0.250305
67,1,1,0.567017
68,2,2,0.583710
69,1,1,0.417084
70,1,1,0.550018
71,2,2,0.633179
72,1,0,0.349793
73,1,1,0.750183
74,2,2,0.399719
75,0,0,0.500092
76,1,1,0.433197
77,2,2,0.366791
78,0,0,0.883087
79,1,1,0.366791
80,2,2,0.399994
81,0,1,0.717102
82,1,1,0.082794
83,2,2,0.233704
84,0,0,0.416992
85,1,1,0.416901
86,2,2,0.334198
87,0,0,0.683380
88,1,1,0.750214
89,2,2,0.150085
90,0,0,0.350403
91,1,1,0.250000
92,2,2,0.199402
93,0,0,0.649902
94,1,1,0.217285
95,2,2,0.266602
96,1,0,0.616608
97,1,1,0.283325
98,2,2,0.199982
99,1,0,0.533508
100,1,1,0.433685
101,2,2,0.149994
102,0,0,0.833405
103,1,1,0.633514
104,2,2,0.183380
105,1,0,0.382904
106,1,1,0.349793
107,2,2,0.166596
108,0,1,0.633179
109,1,1,1.767181
110,2,2,0.566498
111,0,0,0.783386
112,1,1,0.216888
113,2,2,0.417084
114,0,0,0.383301
115,1,1,0.283508
116,2,2,0.410187
117,0,0,0.600311
118,1,1,0.233002
119,2,2,0.150116
120,0,0,0.366394
121,1,1,0.116303
122,2,2,0.216583
123,1,0,0.283905
124,1,1,0.366882
125,2,2,0.166809
126,0,0,0.316681
127,1,1,0.150604
128,2,2,0.633789
129,0,0,1.150208
130,1,1,0.233490
131,2,2,0.583008
132,0,0,1.017212
133,1,1,0.333374
134,2,2,0.516998
135,0,1,0.483795
136,1,1,0.283386
137,2,2,0.316498
138,0,0,1.433807
139,1,1,0.216614
140,2,2,0.216583
141,0,0,0.400085
142,1,1,0.233490
143,2,2,0.333496
144,0,0,0.300018
145,1,1,0.416809
146,2,2,0.333313
147,0,0,0.616913
148,1,1,0.383606
149,2,2,0.533417
150,1,0,0.633179
151,1,1,0.499908
152,2,2,0.233490
153,0,0,0.450104
154,1,1,0.366699
155,2,2,0.333679
156,0,0,0.433502
157,1,1,0.316620
158,2,2,0.233704
159,0,0,0.316986
160,1,1,0.150024
161,2,2,0.233093
162,0,0,0.333405
163,1,1,0.183106
164,2,2,0.233826
165,0,0,0.633301
166,1,1,0.483398
167,2,2,0.467316
168,0,0,0.599915
169,1,1,0.249603
170,2,2,0.233582
171,0,0,0.699890
172,1,1,0.183502
173,2,2,0.250397
174,0,0,0.400177
175,1,1,0.433411
176,2,2,0.284302
177,0,0,0.683899
178,1,1,0.233521
179,2,2,0.516693
180,0,0,0.633820
181,1,1,0.283020
182,2,2,0.217011
183,0,0,0.567017
184,1,1,0.166596
185,2,2,0.384003
186,1,0,0.617401
187,1,1,0.300873
188,2,2,0.350220
189,1,0,0.367127
190,1,1,0.367004
191,2,2,0.350098
192,0,0,0.817261
193,1,1,0.216919
194,2,2,0.283325
195,0,0,0.667297
196,1,1,0.249939
197,2,2,0.483460
198,0,0,0.616882
199,1,1,0.149414
200,2,2,0.416504
201,0,0,0.733521
202,1,1,0.299683
