move,waitedResult,optionChosen,movementTime
1,2,2,20.400700
2,0,1,9.716896
3,1,1,4.563705
4,2,0,3.680199
5,0,0,2.209099
6,1,2,3.695999
7,2,2,1.873199
8,0,0,1.389206
9,1,1,0.719208
10,2,2,0.770798
11,1,0,1.188705
12,1,0,2.039993
13,2,2,1.354507
14,1,0,2.375092
15,1,0,2.659195
16,2,1,0.551987
17,0,0,2.993301
18,1,0,4.013107
19,2,2,2.090912
20,0,1,1.974197
21,1,0,2.324005
22,2,0,4.650894
23,0,1,1.438797
24,1,2,2.175903
25,2,1,2.459198
26,0,1,0.785996
27,1,2,1.807602
28,2,2,1.689789
29,1,1,2.726807
30,1,0,2.075409
31,2,1,2.289993
32,1,1,3.594498
33,1,0,1.386795
34,2,1,2.758194
35,0,2,1.421509
36,1,1,1.388504
37,2,0,1.122208
38,1,1,1.254196
39,1,1,1.553299
40,2,1,1.754807
41,0,0,1.504898
42,1,2,3.729599
43,2,1,2.375000
44,0,1,1.036697
45,1,0,1.372482
46,2,1,1.037903
47,1,1,1.672485
48,1,0,1.739502
49,2,2,0.954224
50,1,2,3.162292
51,1,1,0.887604
52,2,0,2.291199
53,0,1,1.624023
54,1,0,0.351898
55,2,2,1.605804
56,1,1,3.495911
57,1,1,1.689606
58,2,1,1.604919
59,0,0,3.779510
60,1,2,2.760284
61,2,1,0.585205
62,0,1,1.101593
63,1,2,2.626099
64,2,2,1.219177
65,0,1,2.541992
66,1,0,3.547485
67,2,1,2.860107
68,0,1,3.763092
69,1,2,3.697205
70,2,2,2.191620
71,0,0,2.024292
72,1,1,1.355103
73,2,2,3.713013
74,0,2,2.892700
75,1,2,3.646210
76,2,2,1.136719
77,0,0,1.187988
78,1,1,0.835785
79,2,2,0.953400
80,0,0,4.316528
81,1,1,0.968903
82,2,2,2.659607
83,0,0,5.937103
84,1,1,2.826508
85,2,2,2.593994
86,0,0,1.520203
87,1,1,1.489685
88,2,2,1.335785
89,0,1,1.955597
90,1,1,2.089905
91,2,2,2.241089
92,1,0,1.352875
93,1,0,2.860016
94,2,1,0.936279
95,1,0,2.273376
96,1,1,1.856506
97,2,0,1.321503
98,0,0,1.671600
99,1,2,2.575714
100,2,2,1.821686
101,1,1,1.571503
102,1,0,0.953095
103,2,1,0.853577
104,1,0,3.544220
105,1,2,1.270996
106,2,0,1.722809
107,0,2,4.014099
108,1,1,3.479492
109,2,2,2.859589
110,0,1,2.525208
111,1,1,2.356995
112,2,2,1.304413
113,0,1,3.462799
114,1,1,2.576111
115,2,2,1.772095
116,0,0,0.903717
117,1,1,2.175232
118,2,2,1.438782
119,1,1,1.737366
120,1,1,1.154724
121,2,1,1.103943
122,0,1,2.742859
123,1,1,2.242126
124,2,2,1.472473
125,1,0,3.729980
126,1,1,0.518677
127,2,0,1.153015
128,0,0,1.455872
129,1,1,3.311340
130,2,1,0.968506
131,1,1,1.002625
132,1,0,1.754883
133,2,0,1.656738
134,0,1,3.613770
135,1,0,0.568420
136,2,2,1.554688
137,0,1,1.520996
138,1,1,1.403076
139,2,2,3.061707
140,0,0,3.175903
141,1,1,3.462097
142,2,2,1.740662
143,0,0,1.522766
144,1,1,1.189514
145,2,2,1.288696
146,0,0,1.854980
147,1,1,0.869812
148,2,2,1.255127
149,1,0,1.556519
150,1,1,0.433472
151,2,1,2.424988
152,1,1,1.054199
153,1,0,1.106140
154,2,0,1.203796
155,1,0,2.591797
156,1,1,0.988098
157,2,0,2.124512
158,0,1,2.342896
159,1,0,0.635193
160,2,2,1.671753
161,0,1,1.572937
162,1,0,0.702698
163,2,2,1.088928
164,1,1,1.572388
165,1,0,0.920715
166,2,1,0.818787
167,1,2,0.416931
168,1,0,0.986328
169,2,1,0.167786
170,0,1,0.834900
171,1,1,3.160522
172,2,2,0.785645
173,0,0,0.903748
174,1,2,3.261108
175,2,2,0.952026
176,0,0,1.421509
177,1,1,2.609192
178,2,2,1.572388
179,1,0,4.028687
180,1,1,0.469360
181,2,0,2.559509
182,0,2,0.618103
183,1,1,2.508484
184,2,2,1.671448
185,0,0,2.191650
186,1,1,2.156189
187,2,1,1.572998
188,0,2,1.721619
189,1,1,1.489075
190,2,2,1.670715
191,1,0,1.071533
192,1,1,0.516907
193,2,0,0.800598
194,0,2,0.719727
195,1,1,1.638916
196,2,2,1.538879
197,0,0,1.020142
198,1,1,1.572449
199,2,2,1.572815
200,0,1,1.822083
201,1,1,0.652222
202,2,1,1.019714
203,1,2,2.524719
204,1,2,0.987976
205,2,1,0.483704
206,0,0,1.203857
207,1,1,1.788086
208,2,1,2.123779
209,1,2,1.370789
210,1,2,1.154297
211,2,1,1.588501
212,0,0,0.919067
213,1,1,2.993164
214,2,1,1.003418
215,0,0,2.173645
216,1,1,1.671631
217,2,2,2.593506
218,0,1,2.239929
219,1,2,3.928772
220,2,1,0.585815
221,1,0,1.321655
222,1,0,2.658630
223,2,2,1.337585
224,1,0,1.605408
225,1,0,1.772766
226,2,1,0.367127
227,0,1,1.104797
228,1,1,3.345398
229,2,2,1.404053
230,1,1,4.868408
231,1,0,1.071411
232,2,1,2.593201
233,0,0,1.941040
234,1,1,1.773193
235,2,2,1.136902
236,0,1,1.221008
237,1,2,3.260193
238,2,1,0.502197
239,0,2,2.074890
240,1,1,2.374756
241,2,2,1.270020
242,1,1,2.943909
243,1,1,1.071289
244,2,0,1.806885
245,1,0,3.463501
246,1,0,1.171021
247,2,0,1.639099
248,1,0,3.044617
249,1,1,0.635803
250,2,0,1.822571
