move,waitedResult,optionChosen,movementTime
1,1,2,3.214798
2,2,0,0.767700
3,0,1,0.700501
4,1,0,1.399605
5,2,2,0.816399
6,0,1,2.265991
7,1,0,0.466507
8,2,2,1.699493
9,0,0,1.783310
10,1,1,0.399307
11,2,2,4.748993
12,0,0,0.799393
13,1,1,0.349609
14,2,2,0.367188
15,0,0,0.800003
16,1,1,0.449799
17,2,2,0.449692
18,0,1,0.416992
19,1,0,0.599686
20,2,1,0.832794
21,0,0,2.048904
22,1,1,0.466599
23,2,2,0.766205
24,0,0,0.399994
25,1,1,0.349609
26,2,2,0.400009
27,1,1,0.216309
28,1,0,0.149307
29,2,2,1.032700
30,1,0,0.299301
31,1,2,0.532898
32,2,2,0.916489
33,1,1,0.199890
34,1,2,0.866196
35,2,2,2.049210
36,1,1,0.233597
37,1,1,0.183197
38,2,2,0.516403
39,0,1,0.216599
40,1,2,0.317291
41,2,1,0.149887
42,0,2,0.299606
43,1,2,0.450104
44,2,1,1.100006
45,0,2,0.316895
46,1,1,0.699097
47,2,2,1.133194
48,0,0,0.499497
49,1,1,0.616592
50,2,2,0.366394
51,0,0,0.449097
52,1,1,1.182907
53,2,2,0.400009
54,1,0,0.300598
55,1,2,0.766495
56,2,0,1.799103
57,1,1,2.399994
58,1,2,0.333496
59,2,0,1.382904
60,0,1,0.333313
61,1,1,0.250107
62,2,1,0.432999
63,1,1,2.849396
64,1,1,0.400085
65,2,2,0.583008
66,1,0,0.349487
67,1,1,2.649384
68,2,1,0.350311
69,0,1,2.416504
70,1,2,0.899780
71,2,1,0.249695
72,0,2,0.466492
73,1,0,0.166687
74,2,1,0.182678
75,1,1,1.349792
76,1,1,0.333283
77,2,2,0.183289
78,0,0,0.382904
79,1,1,0.550995
80,2,1,0.299896
81,1,0,2.466187
82,1,2,0.848999
83,2,1,0.182983
84,0,1,0.732697
85,1,2,0.432800
86,2,1,0.265503
87,0,1,0.549377
88,1,2,0.032501
89,2,1,0.483215
90,0,2,0.415802
91,1,1,0.249695
92,2,1,0.249390
93,0,0,0.066010
94,1,2,1.083099
95,2,0,0.266693
96,0,1,0.082794
97,1,2,0.033203
98,2,1,0.133301
99,0,2,0.733490
100,1,0,0.033020
101,2,1,0.083099
102,0,2,0.149506
103,1,1,1.098785
104,2,1,0.266113
105,0,0,0.733490
106,1,0,0.583008
107,2,1,0.232788
108,1,1,0.399597
109,1,1,0.316010
110,2,2,0.815979
111,0,0,0.233093
112,1,1,0.416473
113,2,1,0.166321
114,1,0,1.966797
115,1,1,0.149200
116,2,2,0.216614
117,0,2,0.432922
118,1,1,0.666809
119,2,1,0.432404
120,0,0,0.732697
121,1,1,1.300018
122,2,1,1.216095
123,0,1,0.283295
124,1,1,0.565979
125,2,1,0.299408
126,0,0,0.250092
127,1,2,0.616028
128,2,1,0.149994
129,1,2,0.415924
130,1,1,0.167603
131,2,1,0.233002
132,0,0,0.482483
133,1,0,0.433197
134,2,1,0.132996
135,0,1,0.432098
136,1,0,0.532593
137,2,1,0.133301
138,0,2,0.583191
139,1,0,0.149292
140,2,1,0.082581
141,1,2,0.482910
142,1,1,0.149323
143,2,1,0.265900
144,1,2,0.550201
145,1,1,0.099792
146,2,1,0.232697
147,0,1,0.500183
148,1,0,0.432495
149,2,1,0.065887
150,0,1,0.550324
151,1,0,0.384705
152,2,1,0.100006
153,1,1,0.866699
154,1,1,3.682404
155,2,2,2.716400
156,1,1,2.266693
157,1,1,0.716705
158,2,0,1.133209
159,0,2,2.298920
160,1,1,3.082275
161,2,1,0.383301
162,1,0,2.816315
163,1,1,0.183197
164,2,1,0.401001
165,1,0,0.866303
166,1,1,1.149506
167,2,1,0.650696
168,0,2,0.683014
169,1,1,3.282501
170,2,2,0.634216
171,0,1,2.116699
172,1,2,3.449890
173,2,1,3.165314
174,0,1,0.233398
175,1,1,1.383392
176,2,2,0.749695
177,0,0,0.217285
178,1,1,1.398926
179,2,2,0.365418
180,0,0,0.282410
181,1,1,1.499390
182,2,2,0.133240
183,0,0,0.265625
184,1,1,0.199219
185,2,1,0.365784
186,1,1,2.233826
187,1,0,0.550354
188,2,0,4.048584
189,1,2,1.333618
190,1,1,2.115906
191,2,2,0.966126
192,1,1,0.216126
193,1,1,0.132507
194,2,2,0.116760
195,0,1,0.132568
196,1,1,4.431641
197,2,2,2.765259
198,1,2,0.266907
199,1,2,2.182373
200,2,1,0.382690
201,1,2,0.432800
202,1,1,0.732666
203,2,1,0.200440
204,1,2,1.733154
205,1,1,0.883301
206,2,1,0.567017
207,0,2,1.549194
208,1,1,0.216858
209,2,1,0.283997
210,1,1,0.299194
211,1,2,0.283691
212,2,1,0.249268
213,1,2,0.283569
214,1,1,0.116455
215,2,1,0.316467
216,1,1,1.300598
217,1,2,0.399597
218,2,1,0.366882
219,0,1,0.599182
220,1,1,0.333557
221,2,1,0.183838
222,1,1,0.699890
223,1,1,0.367310
224,2,2,0.332398
225,0,1,1.032471
226,1,2,1.932495
227,2,1,1.132996
228,1,0,3.583069
229,1,1,0.766296
230,2,1,0.484131
231,0,2,0.867127
232,1,2,4.882385
233,2,1,0.549377
234,0,1,0.533142
235,1,1,1.232605
236,2,2,1.699036
237,0,0,0.432800
238,1,1,7.815308
