move,waitedResult,optionChosen,movementTime
1,0,0,4.380501
2,1,2,4.133797
3,2,2,5.666794
4,0,1,5.934502
5,1,1,3.166206
6,2,2,5.484604
7,0,0,2.366898
8,1,1,1.616196
9,2,2,1.533005
10,0,0,2.332596
11,1,1,0.901398
12,2,2,1.132996
13,0,0,1.516907
14,1,1,1.265991
15,2,2,0.531799
16,0,0,0.482987
17,1,1,0.616409
18,2,2,0.948792
19,1,0,1.032700
20,1,0,3.249405
21,2,0,5.117096
22,0,2,3.066101
23,1,0,5.315689
24,2,1,2.766510
25,0,0,2.249603
26,1,1,1.649597
27,2,2,1.517197
28,0,0,1.866592
29,1,1,1.917206
30,2,2,0.783096
31,0,0,0.964996
32,1,1,0.949204
33,2,2,0.650497
34,1,0,3.783401
35,1,1,1.965591
36,2,2,3.349701
37,0,0,1.250198
38,1,1,1.116302
39,2,2,1.216187
40,1,0,1.181900
41,1,1,1.998489
42,2,2,0.916107
43,0,0,0.850098
44,1,1,0.766998
45,2,1,0.983002
46,1,0,0.867004
47,1,1,2.983978
48,2,2,3.199890
49,0,0,1.000305
50,1,1,0.865997
51,2,2,1.433105
52,0,0,0.968597
53,1,1,0.666596
54,2,1,2.265503
55,1,0,0.417511
56,1,1,1.351288
57,2,2,1.533112
58,1,0,0.516998
59,1,0,2.397980
60,2,2,0.833008
61,0,0,0.349487
62,1,1,0.048981
63,2,2,0.299713
64,0,0,0.105408
65,1,1,0.632996
66,2,1,0.233002
67,0,0,0.049683
68,1,1,0.016998
69,2,2,0.049377
70,0,0,0.548584
71,1,1,0.449402
72,2,2,0.532501
73,0,0,0.146606
74,1,1,0.099609
75,2,2,0.049500
76,0,0,0.466400
77,1,1,0.316376
78,2,2,0.499786
79,0,0,0.616180
80,1,1,0.066711
81,2,2,1.299377
82,1,0,0.899811
83,1,1,0.583221
84,2,2,0.749573
85,0,2,0.333191
86,1,1,0.782105
87,2,2,0.284088
88,0,0,0.199799
89,1,1,0.366211
90,2,2,0.200989
91,0,0,0.366303
92,1,1,0.416504
93,2,2,0.833496
94,0,0,0.450104
95,1,1,0.465607
96,2,2,0.232391
97,0,1,0.616699
98,1,1,0.232910
99,2,2,0.284119
100,0,0,0.383698
101,1,1,0.066498
102,2,2,0.049713
103,0,0,0.082703
104,1,1,0.233887
105,2,2,0.231995
106,0,0,0.299805
107,1,1,0.131409
108,2,2,0.766205
109,0,0,0.532990
110,1,1,0.082794
111,2,2,0.234192
112,0,0,0.316711
113,1,1,0.466003
114,2,2,0.249603
115,0,0,1.216003
116,1,1,0.099792
117,2,2,0.316284
118,0,0,0.349915
119,1,1,0.116699
120,2,2,0.832398
121,0,0,1.300812
122,1,1,0.882599
123,2,2,0.648895
124,0,0,0.798401
125,1,1,0.067383
126,2,2,0.133392
127,1,0,0.767395
128,1,1,1.099213
129,2,2,1.049377
130,0,0,0.499786
131,1,1,3.916595
132,2,2,0.449677
133,1,0,0.349213
134,1,1,0.482178
135,2,2,0.532593
136,0,0,0.066101
137,1,1,0.349915
138,2,2,0.433197
139,0,0,0.983307
140,1,1,0.216919
141,2,2,0.265900
142,0,0,0.182892
143,1,1,0.449707
144,2,2,0.199585
145,0,0,0.649292
146,1,1,0.416199
147,2,2,0.249603
148,0,0,0.183380
149,1,1,0.766815
150,2,2,0.483795
151,0,0,0.132202
152,1,1,0.099487
153,2,2,0.116577
154,0,0,0.065887
155,1,1,0.200317
156,2,2,0.632996
157,0,0,0.079102
158,1,1,0.083191
159,2,2,0.050018
160,1,0,0.233093
161,1,1,1.216400
162,2,0,1.998901
163,0,0,0.550324
164,1,1,0.233002
165,2,2,0.216400
166,0,0,0.150299
167,1,1,0.031921
168,2,2,0.482605
169,0,0,0.482513
170,1,1,0.199005
171,2,2,0.467224
172,0,0,0.632996
173,1,1,0.182861
174,2,2,0.498657
175,1,0,0.216309
176,1,1,1.299866
177,2,2,0.416687
178,0,0,0.333679
179,1,1,0.200073
180,2,2,0.516602
181,1,0,0.450134
182,1,1,0.232910
183,2,2,1.115967
184,0,0,0.133484
185,1,2,0.250794
186,2,2,0.933289
187,0,0,1.382202
188,1,1,0.232971
189,2,2,0.449768
190,0,0,0.117371
191,1,1,0.117249
192,2,2,0.216187
193,0,0,0.299744
194,1,1,0.282715
195,2,2,0.101440
196,1,0,0.149902
197,1,1,0.682800
198,2,2,0.615967
199,0,0,0.182678
200,1,1,1.549805
201,2,2,0.432312
202,0,0,0.283997
203,1,1,0.299072
204,2,2,0.066956
205,0,0,0.100708
206,1,1,0.366577
207,2,2,0.099609
208,0,0,0.432556
209,1,1,0.149353
210,2,2,0.166565
211,1,0,0.115601
212,1,1,0.249512
213,2,2,0.166260
214,1,0,0.100098
215,1,1,0.232971
216,2,1,3.432678
217,0,0,0.898499
218,1,1,0.266602
219,2,2,0.233276
220,0,0,0.666321
221,1,1,0.049377
222,2,2,0.646790
223,0,0,0.633179
224,1,1,0.250183
225,2,2,0.416138
226,1,0,0.266052
227,1,1,0.416016
228,2,2,0.066589
229,0,0,0.266663
230,1,1,0.666992
231,2,2,0.449646
232,0,0,0.250122
233,1,1,0.333191
234,2,2,0.116394
235,1,0,0.154297
236,1,1,0.149597
237,2,2,0.366211
238,0,0,0.333435
239,1,1,1.099365
240,2,2,0.749878
241,0,0,0.249390
242,1,1,0.033081
243,2,2,0.899170
244,0,0,0.116394
245,1,1,0.282898
246,2,2,0.499573
247,0,0,0.232605
248,1,1,0.299316
249,2,2,0.065552
250,1,0,0.083313
251,1,1,0.233276
252,2,2,0.549927
253,0,0,0.066528
254,1,2,0.049866
255,2,2,0.116577
256,0,0,0.049927
257,1,1,0.166077
258,2,2,0.266785
259,0,0,0.032715
260,1,1,0.016296
261,2,2,0.183350
262,0,0,0.399719
263,1,1,0.150085
264,2,2,0.418030
265,0,0,0.616089
266,1,1,0.199951
267,2,2,1.416382
268,0,0,0.616211
269,1,1,0.382629
270,2,2,0.467041
271,0,0,1.666504
272,1,1,0.532898
273,2,2,0.700012
274,0,0,0.966553
275,1,1,0.383057
276,2,1,0.649780
277,0,2,0.167053
278,1,1,0.883179
279,2,2,0.133301
280,0,0,0.515869
281,1,1,0.066406
282,2,2,0.398987
283,1,0,0.066589
284,1,2,0.583069
285,2,2,0.533203
286,0,0,0.132935
287,1,1,0.082825
288,2,2,0.533081
289,0,0,1.715820
290,1,2,0.116699
291,2,1,0.266480
292,1,0,0.448914
293,1,1,0.566528
294,2,2,0.166321
295,1,0,0.066650
296,1,1,0.299805
297,2,2,0.083618
298,0,0,0.117065
299,1,1,0.314880
300,2,2,0.566711
301,1,0,0.316406
302,1,1,0.100220
303,2,2,0.132690
304,0,0,0.049133
305,1,1,0.333130
306,2,2,0.216492
307,0,0,0.166443
308,1,1,0.166626
309,2,2,0.349670
310,0,0,0.383179
311,1,1,0.849854
312,2,2,0.183411
313,1,0,0.266296
314,1,1,2.066223
315,2,2,0.066345
316,0,0,0.083313
317,1,1,0.215210
318,2,2,0.083313
319,1,0,0.049927
320,1,1,0.183411
321,2,2,0.318604
322,0,0,0.015808
323,1,1,0.299500
324,2,2,0.083252
325,0,0,0.032715
326,1,1,0.166992
327,2,2,0.150024
328,0,0,0.033508
329,1,1,0.116089
330,2,2,0.099854
331,0,0,0.233093
332,1,1,0.050232
333,2,2,0.100220
334,0,0,0.899597
335,1,1,0.799683
336,2,2,0.533447
337,0,0,0.683594
338,1,1,0.100098
339,2,2,0.066589
340,0,0,0.399292
341,1,1,0.200134
342,2,2,0.150024
343,0,0,0.483276
344,1,1,0.211792
345,2,2,0.216797
346,0,0,0.067261
347,1,1,0.150024
348,2,2,0.167297
349,0,0,0.149902
350,1,1,0.083374
351,2,2,0.166382
352,0,0,0.634155
353,1,1,0.183106
354,2,2,0.116821
355,0,0,0.465881
356,1,1,0.015625
357,2,2,0.183228
358,0,0,0.033264
359,1,1,0.150147
360,2,2,0.333130
361,0,0,0.166504
362,1,1,0.099670
363,2,2,0.183411
364,0,0,0.132935
365,1,1,0.199402
366,2,2,0.183411
367,0,0,0.566956
368,1,1,0.016724
369,2,2,0.116821
370,1,0,0.099304
371,1,1,0.365906
372,2,2,0.249817
373,0,0,0.266602
374,1,1,0.600098
375,2,2,0.132874
376,0,0,0.033325
377,1,1,0.266602
378,2,2,0.033630
379,0,0,0.732605
380,1,1,0.166992
381,2,2,0.066406
382,0,0,0.033142
383,1,1,0.066650
384,2,2,0.299866
385,0,0,0.266724
386,1,1,0.167603
387,2,2,0.283203
388,0,0,0.499573
389,1,1,0.083496
390,2,2,0.065613
391,0,0,0.382996
392,1,1,0.033325
393,2,2,0.283203
394,0,0,0.067078
395,1,1,0.099976
396,2,2,0.367004
397,0,0,0.366272
398,1,1,0.099426
399,2,2,0.082825
400,0,0,0.016479
401,1,1,0.050110
402,2,2,0.133545
403,1,0,0.099304
404,1,1,0.299805
405,2,2,0.016602
406,0,0,0.099487
407,1,1,0.033386
408,2,2,0.332947
409,0,0,0.432373
410,1,1,0.116516
411,2,2,0.033081
412,1,0,0.283508
413,1,1,0.133240
414,2,2,1.049988
415,0,0,0.567017
416,1,1,0.217224
417,2,2,0.109314
418,0,0,1.199890
419,1,1,0.316589
420,2,2,0.049988
421,0,0,0.183289
422,1,1,0.032959
423,2,2,0.133850
424,1,0,0.466370
425,1,1,0.132813
426,2,2,0.266113
427,1,0,0.099976
428,1,1,0.265259
429,2,2,0.416382
430,0,0,0.899902
431,1,1,0.080322
432,2,2,0.184082
433,0,0,0.700012
434,1,1,0.383301
435,2,2,0.131409
436,1,0,0.232727
437,1,1,0.133545
438,2,2,0.516296
439,0,0,0.132202
440,1,1,0.066589
441,2,2,0.216919
442,0,0,0.683228
443,1,1,0.086670
444,2,2,0.083130
445,0,0,1.516357
