move,waitedResult,optionChosen,movementTime
1,0,0,6.899200
2,1,1,12.398300
3,2,0,2.616196
4,0,1,4.199493
5,1,2,6.499100
6,2,2,2.816299
7,0,0,2.365891
8,1,1,2.099701
9,2,2,2.549393
10,0,0,1.982407
11,1,1,1.266098
12,2,2,1.116302
13,0,0,2.566513
14,1,1,1.716202
15,2,2,0.717789
16,0,0,1.065811
17,1,1,0.915604
18,2,2,1.016296
19,0,0,0.516495
20,1,1,0.483398
21,2,2,0.549606
22,0,0,0.833298
23,1,1,0.666199
24,2,2,0.399002
25,0,0,0.433594
26,1,1,0.565903
27,2,2,0.383102
28,1,0,0.449188
29,1,2,5.048904
30,2,1,1.432602
31,1,0,3.816086
32,1,0,2.682800
33,2,1,0.582825
34,0,1,5.165283
35,1,1,3.481903
36,2,2,1.416290
37,0,0,1.532990
38,1,1,1.166199
39,2,2,0.999085
40,0,0,1.099701
41,1,1,0.932892
42,2,2,0.816284
43,0,0,1.549500
44,1,1,0.982605
45,2,2,0.632904
46,1,0,1.666290
47,1,0,5.115814
48,2,2,3.382202
49,0,0,1.932281
50,1,1,1.316498
51,2,2,1.232880
52,0,0,1.366180
53,1,1,0.566376
54,2,2,0.916412
55,0,0,1.299194
56,1,1,0.550201
57,2,2,0.832916
58,0,0,3.482300
59,1,1,0.717194
60,2,2,0.749603
61,0,0,1.066010
62,1,1,0.382416
63,2,2,0.649811
64,1,0,0.916382
65,1,0,3.749115
66,2,0,1.249512
67,1,0,5.065887
68,1,1,0.415680
69,2,2,2.749298
70,0,0,0.799591
71,1,1,0.683106
72,2,2,0.399597
73,0,0,0.516724
74,1,1,0.182892
75,2,2,0.033325
76,0,0,0.032501
77,1,1,0.216400
78,2,2,0.116211
79,0,0,0.233002
80,1,1,0.033020
81,2,2,0.148895
82,1,0,0.649902
83,1,2,6.049591
84,2,1,0.549103
85,0,0,2.365814
86,1,1,1.466522
87,2,2,0.833313
88,0,0,0.615601
89,1,1,0.716309
90,2,2,0.149506
91,1,0,0.382782
92,1,1,4.349609
93,2,0,3.949799
94,0,0,1.882782
95,1,1,1.899109
96,2,2,0.616516
97,0,0,0.616211
98,1,1,0.749512
99,2,2,0.716309
100,0,0,0.649414
101,1,1,0.516388
102,2,2,0.616394
103,0,0,1.599304
104,1,1,0.366608
105,2,2,2.332916
106,0,0,1.732910
107,1,1,1.799377
108,2,2,1.782410
109,0,0,1.099426
110,1,1,0.882996
111,2,2,0.533295
112,0,0,0.499207
113,1,1,2.266022
114,2,2,0.432709
115,0,0,0.566193
116,1,1,2.416595
117,2,2,0.533203
118,1,0,0.449616
119,1,1,3.998901
120,2,0,1.332581
121,0,0,1.949310
122,1,2,1.582886
123,2,2,2.816101
124,0,0,1.366699
125,1,1,0.549683
126,2,2,3.198975
127,0,0,0.616089
128,1,1,0.299988
129,2,2,1.099731
130,0,0,0.916260
131,1,1,0.282593
132,2,2,0.966797
133,0,0,0.483215
134,1,1,0.299500
135,2,2,0.616028
136,1,0,1.199097
137,1,2,3.082642
138,2,2,2.648987
139,0,0,1.266113
140,1,1,0.383057
141,2,1,0.616211
142,0,0,2.599487
143,1,1,2.749390
144,2,1,0.649658
145,0,0,3.599182
146,1,1,1.282715
147,2,2,0.433228
148,1,0,1.049622
149,1,2,4.433105
150,2,0,1.732483
151,0,0,4.248901
152,1,1,1.116211
153,2,2,0.532715
154,0,0,1.249573
155,1,1,0.666260
156,2,2,0.749023
157,0,0,0.666626
158,1,1,0.932861
159,2,2,0.265930
160,1,0,0.749939
161,1,2,4.199402
162,2,2,2.633118
163,0,0,0.999329
164,1,1,0.449707
165,2,2,0.798767
166,0,0,1.915710
167,1,1,0.715637
168,2,2,0.616028
169,0,0,1.099670
170,1,1,0.532715
171,2,1,0.782410
172,0,0,1.249695
173,1,1,2.516113
174,2,2,0.599915
175,1,0,1.133545
176,1,0,1.049561
177,2,0,1.933105
178,1,0,6.982605
179,1,0,1.049622
180,2,2,1.583069
181,0,0,0.832764
182,1,1,0.466492
183,2,2,0.465698
184,0,0,1.417236
185,1,1,0.533203
186,2,2,0.649597
187,0,0,0.616150
188,1,1,0.333008
189,2,2,0.799683
190,1,0,0.632935
191,1,1,5.182312
192,2,2,0.616089
193,1,0,0.933106
194,1,0,3.065857
195,2,0,2.666016
196,0,0,1.449829
197,1,2,1.249878
198,2,1,0.833374
199,0,1,3.098999
200,1,1,1.866150
201,2,2,0.649780
202,0,0,0.715942
203,1,1,0.850403
204,2,2,1.166687
205,1,0,0.516602
206,1,1,4.499695
207,2,0,1.466187
208,0,0,2.533203
209,1,1,1.449707
210,2,2,0.732971
211,0,1,2.832703
212,1,1,0.683044
213,2,2,0.366394
214,0,0,0.365601
215,1,1,0.382935
216,2,2,0.632935
217,1,0,0.766052
218,1,2,5.032837
219,2,2,4.199097
220,0,0,1.032654
221,1,1,0.650147
222,2,2,0.532898
223,0,0,1.116272
224,1,1,0.599670
225,2,2,0.549805
226,0,1,2.133301
227,1,1,0.482666
228,2,2,0.349793
229,0,0,0.583191
230,1,1,2.449524
231,2,2,0.282654
232,1,0,0.333252
233,1,1,2.265686
234,2,2,0.333008
235,1,0,0.450073
236,1,0,11.048220
237,2,1,1.049194
238,1,0,3.015930
239,1,0,0.933289
240,2,1,0.466003
241,0,0,1.599792
242,1,1,0.916504
243,2,2,0.449707
244,1,0,3.315674
245,1,2,3.815552
246,2,2,1.366211
247,1,0,0.916138
248,1,0,3.499329
249,2,2,1.666077
250,0,1,0.782898
251,1,1,0.500122
252,2,1,0.599731
253,0,2,0.666138
254,1,1,1.500000
255,2,2,3.033142
256,0,0,0.732971
257,1,1,0.549683
258,2,2,0.232788
259,1,0,0.350037
260,1,1,2.116394
261,2,2,0.599854
262,0,0,0.383118
263,1,1,0.416016
264,2,1,0.267334
265,0,1,1.866760
266,1,1,3.215881
267,2,2,0.616028
268,1,0,1.083191
269,1,2,2.932983
270,2,2,1.582764
271,0,0,0.783203
272,1,1,0.416199
273,2,1,0.765747
274,0,2,3.765686
275,1,1,1.115356
276,2,2,2.099304
277,0,1,1.299805
278,1,1,1.649414
279,2,2,1.433044
280,0,0,1.700378
281,1,1,1.500366
282,2,2,1.699280
283,0,1,1.316895
284,1,1,1.849609
285,2,0,0.866089
286,1,0,4.999023
287,1,0,0.782715
288,2,1,0.232971
289,0,1,2.083313
290,1,1,1.216187
291,2,2,2.366089
292,0,0,1.682678
293,1,1,0.966309
294,2,2,0.832520
295,0,0,1.232910
296,1,1,0.716431
297,2,2,0.366516
298,0,0,4.099121
299,1,1,0.399780
300,2,2,0.166138
301,0,0,0.832886
302,1,1,0.366089
303,2,2,1.933105
304,0,0,0.799683
305,1,1,0.416626
306,2,2,0.266480
307,0,0,0.566162
308,1,1,0.466431
309,2,2,0.966065
310,1,0,0.432983
311,1,0,2.049316
312,2,0,1.149292
313,0,0,4.566040
314,1,1,1.932983
315,2,2,0.399658
316,1,0,0.516480
317,1,1,2.449341
318,2,2,0.516235
319,0,0,0.649658
320,1,1,0.483643
321,2,2,0.165894
322,1,0,0.383301
323,1,1,1.233276
324,2,2,0.449707
325,1,0,0.700073
326,1,1,0.416260
327,2,2,1.333008
328,1,0,4.016602
329,1,1,0.349731
330,2,2,0.616455
331,1,1,0.333008
332,1,2,0.333008
333,2,1,0.682983
334,0,2,1.850098
335,1,1,6.315796
336,2,2,0.416138
337,0,0,0.298950
338,1,1,0.316162
339,2,2,0.065796
340,1,0,0.083008
341,1,2,1.065796
342,2,2,1.016113
343,0,0,0.899414
344,1,1,0.382813
345,2,1,0.499512
346,0,0,3.316284
347,1,1,0.483398
348,2,2,0.032959
349,0,0,0.166016
350,1,1,0.482788
351,2,2,0.633423
352,0,0,1.099609
353,1,1,0.515747
354,2,2,0.183228
355,0,0,0.832275
356,1,1,0.383545
357,2,2,0.049561
358,0,0,0.832886
359,1,1,0.316528
360,2,2,0.049927
361,1,0,0.250122
362,1,2,2.215942
363,2,2,1.200073
364,1,0,0.798584
365,1,2,2.632446
366,2,2,0.983398
367,0,1,0.599243
368,1,2,4.282837
369,2,2,0.900024
370,0,0,1.566406
371,1,1,1.699707
372,2,2,0.266113
373,0,0,0.966553
374,1,1,0.816650
375,2,1,0.216187
376,0,1,1.632568
377,1,1,0.466797
378,2,2,0.316406
379,0,0,1.049438
380,1,1,2.232788
381,2,2,0.333252
382,0,1,0.999023
383,1,1,2.066162
384,2,2,0.083130
385,0,0,0.882813
386,1,1,0.366089
387,2,2,0.149658
388,0,0,0.849487
389,1,1,0.182617
390,2,2,0.066528
391,0,0,0.300415
392,1,1,0.349487
393,2,2,0.015869
394,0,0,0.415894
395,1,1,0.516235
396,2,2,3.882690
397,0,0,0.649536
398,1,1,0.433106
399,2,2,0.266602
400,0,0,0.483032
401,1,1,0.166260
402,2,2,0.066284
403,0,0,0.149658
404,1,1,0.166626
405,2,2,0.332886
406,1,0,0.399658
407,1,2,1.682861
408,2,2,1.866089
409,0,0,1.166260
410,1,1,0.466309
411,2,2,0.249634
412,0,0,0.332642
413,1,1,0.299683
414,2,2,0.482666
415,0,0,0.283203
416,1,1,0.332642
417,2,2,0.166260
418,1,0,0.383179
419,1,1,1.932739
420,2,2,0.199707
421,1,0,2.232910
422,1,1,1.082764
423,2,2,2.899170
424,0,0,1.150391
425,1,1,0.449707
426,2,2,0.383179
427,0,0,0.449097
428,1,1,0.382935
429,2,2,0.283936
430,0,0,0.932861
431,1,1,0.216187
432,2,2,0.733154
433,0,0,0.532715
434,1,1,0.099487
435,2,2,0.049072
436,1,0,0.249634
437,1,1,0.732544
438,2,2,0.099976
439,1,0,0.149536
440,1,1,2.599609
441,2,0,0.399658
442,0,1,1.133179
443,1,2,2.615845
444,2,1,1.998901
445,1,0,2.116211
446,1,1,2.699707
447,2,0,0.732666
448,0,1,1.216187
449,1,0,0.799805
450,2,1,2.832764
451,1,2,0.866699
452,1,2,1.483154
453,2,1,0.333252
454,0,2,0.183228
455,1,1,3.466309
456,2,2,0.348511
457,0,0,0.883057
458,1,1,0.766480
459,2,2,0.332398
460,1,0,1.183105
461,1,1,2.765869
462,2,2,0.566284
463,0,0,0.449463
464,1,1,0.332642
465,2,2,0.233032
466,0,1,0.533203
467,1,1,0.732788
468,2,2,0.616333
469,0,0,0.699829
470,1,1,0.482910
471,2,2,0.150024
472,1,0,0.249756
473,1,0,1.666138
474,2,0,0.366455
475,0,0,0.399048
476,1,1,0.499268
477,2,2,0.216553
478,0,0,0.632935
479,1,1,0.499512
480,2,2,0.883057
481,0,0,0.482788
482,1,1,0.465820
483,2,2,0.966553
484,0,0,0.516724
485,1,1,0.349121
486,2,2,0.116089
487,1,0,0.366577
488,1,1,0.849487
489,2,2,0.649658
490,0,0,0.316284
491,1,1,0.316406
492,2,2,0.283569
493,0,0,0.383057
494,1,1,0.399658
495,2,2,0.248901
496,1,1,1.416260
497,1,0,1.332764
498,2,1,1.116333
499,0,0,1.666016
