move,waitedResult,optionChosen,movementTime,pauseTime,timeRunning
1,0,1,2.337906,0.000000,2.346405
2,1,0,1.034500,0.000000,4.990303
3,2,2,2.402504,0.000000,8.740005
4,1,2,1.361397,0.000000,11.520400
5,1,2,1.833298,0.000000,14.714300
6,2,0,2.297897,0.000000,18.374100
7,0,2,1.372200,0.000000,21.095700
8,1,1,1.693604,0.000000,24.150910
9,2,0,0.813309,0.000000,26.347110
10,0,2,2.784195,0.000000,30.484500
11,1,0,0.875290,0.000000,32.721100
12,2,0,1.506104,0.000000,35.574400
13,0,1,0.514099,0.000000,37.436200
14,1,0,0.534103,0.000000,39.574310
15,2,1,0.382095,0.000000,41.297200
16,0,0,0.111801,0.000000,43.012910
17,1,2,0.451309,0.000000,44.866410
18,2,1,0.166397,0.000000,46.394200
19,1,0,0.382004,0.000000,48.380600
20,1,1,0.207703,0.000000,49.935500
21,2,1,0.951004,0.000000,52.268910
22,0,0,0.437302,0.000000,54.310300
23,1,0,0.402206,0.000000,56.122800
24,2,1,0.235397,0.000000,57.712910
25,0,2,0.263107,0.000000,59.581010
26,1,0,0.395798,0.000000,61.338610
27,2,1,0.236099,0.000000,62.921710
28,0,0,0.409302,0.000000,64.934910
29,1,2,0.590195,0.000000,66.928300
30,2,1,0.159500,0.000000,68.449100
31,0,0,0.096298,0.000000,70.150410
32,1,2,0.513901,0.000000,72.067000
33,2,1,0.104401,0.000000,73.532700
34,0,0,1.194611,0.000000,76.331210
35,1,0,0.444397,0.000000,78.178100
36,2,1,0.110901,0.000000,79.629300
37,1,2,0.548203,0.000000,81.782100
38,1,0,0.298508,0.000000,83.442110
39,2,1,0.145508,0.000000,84.927700
40,0,0,0.381699,0.000000,86.914110
41,1,2,0.340103,0.000000,88.656800
42,2,1,0.110901,0.000000,90.129200
43,0,0,0.360901,0.000000,92.094100
44,1,1,0.715393,0.000000,94.212800
45,2,2,0.222397,0.000000,95.816700
46,1,0,0.417099,0.000000,97.650300
47,1,1,0.104507,0.000000,99.101410
48,2,0,0.742798,0.000000,101.225900
49,0,1,0.360992,0.000000,102.927200
50,1,0,1.486298,0.000000,106.018000
51,2,1,0.076309,0.000000,107.434500
52,1,0,0.701492,0.000000,109.740100
53,1,1,0.034210,0.000000,111.121500
54,2,2,0.083496,0.000000,112.587100
55,0,0,0.784897,0.000000,114.788500
56,1,2,0.333496,0.000000,116.524700
57,2,1,0.090103,0.000000,117.975700
58,1,2,0.423096,0.000000,120.003300
59,1,1,0.423401,0.000000,121.788300
60,2,2,0.409287,0.000000,123.579700
61,0,0,0.944305,0.000000,125.940900
62,1,2,1.777603,0.000000,129.121400
63,2,2,1.993103,0.000000,132.475500
64,0,0,0.735794,0.000000,134.627900
65,1,1,0.381195,0.000000,136.419800
66,2,2,1.514099,0.000000,139.315600
67,1,0,1.187302,0.000000,141.919500
68,1,1,0.450897,0.000000,143.717700
69,2,2,0.610001,0.000000,145.710500
70,0,0,0.944504,0.000000,148.072500
71,1,1,0.639008,0.000000,150.114100
72,2,0,0.846497,0.000000,152.342400
73,0,2,0.624603,0.000000,154.315200
74,1,2,0.652679,0.000000,156.328900
75,2,1,0.159485,0.000000,157.849700
76,0,0,0.325684,0.000000,159.780400
77,1,2,0.798401,0.000000,161.988400
78,2,2,1.242889,0.000000,164.592600
79,1,0,0.611389,0.000000,166.620800
80,1,1,0.242889,0.000000,168.210700
81,2,0,2.561920,0.000000,172.155200
82,1,2,0.243286,0.000000,173.745400
83,1,0,1.228485,0.000000,176.335000
84,2,1,0.201386,0.000000,177.884200
85,0,2,0.506805,0.000000,179.995100
86,1,0,0.297089,0.000000,181.654300
87,2,1,0.083008,0.000000,183.078000
88,0,2,0.493012,0.000000,185.175500
89,1,0,0.117706,0.000000,186.654200
90,2,1,0.062286,0.000000,188.057600
91,1,2,0.242981,0.000000,189.904400
92,1,0,0.639221,0.000000,191.904800
93,2,1,0.125397,0.000000,193.377100
94,0,2,0.201294,0.000000,195.182000
95,1,0,0.110687,0.000000,196.654400
96,2,1,0.354096,0.000000,198.348900
97,0,0,0.187714,0.000000,200.140800
98,1,2,0.819519,0.000000,202.362600
99,2,1,0.339722,0.000000,204.063800
100,0,2,0.451325,0.000000,206.117600
101,1,1,1.097412,0.000000,208.575800
102,2,2,0.605286,0.000000,210.562900
103,0,0,0.507813,0.000000,212.487900
104,1,1,0.805206,0.000000,214.695500
105,2,2,1.222198,0.000000,217.299900
106,0,0,0.874390,0.000000,219.590700
107,1,1,0.665894,0.000000,221.660300
108,2,2,0.270599,0.000000,223.313500
109,0,0,1.124420,0.000000,225.854600
110,1,1,0.513306,0.000000,227.771500
111,2,2,0.312714,0.000000,229.466300
112,0,0,1.159180,0.000000,232.042000
113,1,1,0.520203,0.000000,233.965500
114,2,2,0.173492,0.000000,235.521700
115,0,0,0.833496,0.000000,237.771600
116,1,1,0.180908,0.000000,239.355000
117,2,2,0.305603,0.000000,241.042500
118,0,0,0.534699,0.000000,242.993800
119,1,1,0.423309,0.000000,244.819700
120,2,2,0.298798,0.000000,246.500600
121,0,0,0.972626,0.000000,248.889600
122,1,1,0.423920,0.000000,250.715900
123,2,2,0.312500,0.000000,252.410300
124,0,0,0.569702,0.000000,254.396400
125,1,1,0.333191,0.000000,256.132200
126,2,2,0.306000,0.000000,257.820100
127,0,0,0.277618,0.000000,259.514300
128,1,1,0.284790,0.000000,261.201700
129,2,2,0.256592,0.000000,262.840100
