move,waitedResult,optionChosen,movementTime,pauseTime,timeRunning
1,1,1,5.648499,0.000000,5.662300
2,2,2,3.194305,0.000000,10.282400
3,0,0,2.724792,0.000000,14.463290
4,1,1,1.620911,0.000000,17.523510
5,2,2,1.622299,0.000000,20.568090
6,0,1,1.304306,0.000000,23.327600
7,1,0,2.693100,0.000000,27.659710
8,2,2,1.906097,0.000000,30.953800
9,0,0,2.575104,0.000000,34.985210
10,1,1,3.145004,0.000000,39.568500
11,2,2,3.159897,0.000000,44.149800
12,0,0,2.308502,0.000000,47.914410
13,1,1,2.691406,0.000000,52.044810
14,2,2,2.306290,0.000000,55.773800
15,0,0,3.244598,0.000000,60.475500
16,1,1,1.606003,0.000000,63.535100
17,2,2,2.759399,0.000000,67.716500
18,1,1,2.158401,0.000000,71.330100
19,1,0,2.090912,0.000000,74.840900
20,2,0,2.207397,0.000000,78.436700
21,0,0,1.720490,0.000000,81.547100
22,1,2,1.587692,0.000000,84.574900
23,2,1,1.202789,0.000000,87.184390
24,0,1,1.605698,0.000000,90.429100
25,1,1,1.421799,0.000000,93.489400
26,2,2,1.923706,0.000000,96.835000
27,1,0,1.404205,0.000000,99.695300
28,1,1,2.074905,0.000000,103.158300
29,2,0,2.908005,0.000000,107.487800
30,0,2,2.876495,0.000000,111.753700
31,1,1,1.287689,0.000000,114.446500
32,2,0,3.462204,0.000000,119.330300
33,1,0,2.475494,0.000000,123.193900
34,1,1,0.987595,0.000000,125.569700
35,2,0,2.207504,0.000000,129.199000
36,1,0,2.358688,0.000000,132.945600
37,1,0,1.672913,0.000000,136.005200
38,2,1,0.952972,0.000000,138.345800
39,0,1,3.294403,0.000000,143.280800
40,1,1,1.486908,0.000000,146.408200
41,2,0,2.708588,0.000000,150.538600
42,0,0,1.873322,0.000000,153.800700
43,1,2,1.839783,0.000000,157.078700
44,2,2,2.626007,0.000000,161.110300
45,0,0,2.542786,0.000000,165.108000
46,1,1,1.755829,0.000000,168.301400
47,2,2,2.106384,0.000000,171.829500
48,0,1,2.341400,0.000000,175.626600
49,1,1,0.851196,0.000000,178.118500
50,2,2,3.662903,0.000000,183.203700
51,1,0,2.843201,0.000000,187.501100
52,1,0,2.057678,0.000000,190.948100
53,2,1,0.785492,0.000000,193.120700
54,0,1,1.807404,0.000000,196.567800
55,1,1,1.438202,0.000000,199.644400
56,2,0,1.437195,0.000000,202.503500
57,1,0,1.489410,0.000000,205.382000
58,1,0,1.387817,0.000000,208.156600
59,2,2,1.437805,0.000000,210.983700
60,0,0,2.710602,0.000000,215.149500
61,1,1,2.259216,0.000000,218.845600
62,2,2,1.839783,0.000000,222.105900
63,0,1,1.354218,0.000000,224.915600
64,1,1,1.371796,0.000000,227.926700
65,2,2,1.722595,0.000000,231.070800
66,1,0,1.539398,0.000000,234.065700
67,1,1,1.305084,0.000000,236.758400
68,2,0,2.610596,0.000000,240.789200
69,0,0,1.337494,0.000000,243.513900
70,1,1,1.472504,0.000000,246.424900
71,2,2,1.639496,0.000000,249.485800
72,0,1,1.956787,0.000000,252.897300
73,1,1,0.652100,0.000000,255.188400
74,2,0,1.336395,0.000000,257.948000
75,0,0,2.192017,0.000000,261.528400
76,1,1,0.836792,0.000000,263.802100
77,2,2,1.838989,0.000000,267.062400
78,0,1,1.471008,0.000000,269.989300
79,1,1,0.785828,0.000000,272.415200
80,2,0,2.340485,0.000000,276.178500
81,0,2,1.222290,0.000000,278.788800
82,1,1,1.038513,0.000000,281.230700
83,2,0,2.456604,0.000000,285.108900
84,0,2,0.785309,0.000000,287.284400
85,1,1,0.834992,0.000000,289.525200
86,2,1,1.723999,0.000000,292.670700
87,1,1,0.434692,0.000000,294.743400
88,1,0,1.737610,0.000000,297.903700
