move,waitedResult,optionChosen,movementTime,pauseTime,timeRunning
1,2,0,2.920502,0.000000,2.935211
2,1,2,3.763306,0.000000,8.087799
3,1,0,2.860870,0.000000,12.353490
4,2,1,0.803406,0.000000,14.544400
5,0,0,2.708405,0.000000,18.892300
6,1,0,3.628998,0.000000,23.959810
7,2,1,1.337006,0.000000,26.686310
8,0,2,1.940887,0.000000,30.265990
9,1,2,3.293091,0.000000,34.964290
10,2,2,3.278320,0.000000,39.648410
11,0,1,1.220703,0.000000,42.324100
12,1,0,1.940216,0.000000,45.904510
13,2,0,2.292511,0.000000,49.583800
14,1,0,2.524902,0.000000,53.496090
15,1,2,1.505096,0.000000,56.389100
16,2,0,1.921295,0.000000,59.717290
17,1,1,2.324493,0.000000,63.430600
18,1,2,2.508698,0.000000,67.361510
19,2,1,1.035706,0.000000,69.803010
20,0,0,2.173615,0.000000,73.616210
21,1,2,2.608185,0.000000,77.663700
22,2,1,1.454315,0.000000,80.524810
23,0,1,2.709991,0.000000,84.873290
24,1,1,0.350586,0.000000,86.862400
25,2,0,1.673798,0.000000,89.958400
26,0,1,1.604523,0.000000,92.950710
27,1,0,0.818909,0.000000,95.409700
28,2,0,3.746704,0.000000,100.544100
29,0,2,3.060699,0.000000,104.993200
30,1,0,2.959595,0.000000,109.358100
31,2,1,0.617981,0.000000,111.365300
32,0,2,2.492004,0.000000,115.497200
33,1,0,2.390991,0.000000,119.293000
34,2,0,1.388000,0.000000,122.069400
35,0,0,2.726196,0.000000,126.183900
36,1,2,3.511810,0.000000,131.134800
37,2,0,1.539490,0.000000,134.079300
38,0,2,2.173401,0.000000,137.641000
39,1,1,1.204498,0.000000,140.250300
40,2,0,2.491608,0.000000,144.163500
41,0,1,0.937317,0.000000,146.489000
42,1,2,3.128021,0.000000,151.254900
43,2,2,2.392181,0.000000,155.052200
44,1,1,2.024902,0.000000,158.531500
45,1,1,2.691193,0.000000,162.644500
46,2,2,2.208099,0.000000,166.274100
47,0,1,3.094299,0.000000,170.823500
48,1,0,1.605896,0.000000,174.067900
49,2,0,2.106903,0.000000,177.563000
50,0,1,3.813507,0.000000,182.765100
51,1,1,1.739685,0.000000,186.143800
52,2,1,2.107513,0.000000,189.672900
53,0,1,0.769684,0.000000,192.081000
54,1,2,0.986511,0.000000,194.706600
55,2,0,2.140686,0.000000,198.252600
56,1,1,1.506104,0.000000,201.146800
57,1,0,1.572388,0.000000,204.139600
58,2,1,1.605499,0.000000,207.133800
