move,waitedResult,optionChosen,movementTime,pauseTime,timeRunning
1,2,0,6.081703,0.000000,6.091805
2,0,0,1.853500,0.000000,9.329407
3,1,1,2.971802,0.000000,13.755400
4,2,1,1.719704,0.000000,16.895810
5,1,0,3.223701,0.000000,21.773100
6,1,2,1.553299,0.000000,24.712700
7,2,1,0.285301,0.000000,26.401600
8,0,2,0.651505,0.000000,28.704700
9,1,2,0.516701,0.000000,30.625400
10,2,2,0.484795,0.000000,32.514000
11,0,0,2.972496,0.000000,36.939200
12,1,1,1.034698,0.000000,39.427800
13,2,2,1.268600,0.000000,42.116710
14,1,0,1.886993,0.000000,45.457600
15,1,0,1.369095,0.000000,48.213500
16,2,0,0.517395,0.000000,50.117400
17,1,0,0.534302,0.000000,52.038210
18,1,0,0.451111,0.000000,53.875810
19,2,0,0.300491,0.000000,55.562700
20,0,0,0.734909,0.000000,57.684010
21,1,0,0.450989,0.000000,59.588000
22,2,1,1.068405,0.000000,62.043500
23,0,2,0.350693,0.000000,64.032300
24,1,0,1.018799,0.000000,66.454500
25,2,1,0.233810,0.000000,68.074710
26,1,2,0.250198,0.000000,69.978810
27,1,2,1.218689,0.000000,72.600800
28,2,1,0.768204,0.000000,74.772200
29,0,2,1.269485,0.000000,77.695500
30,1,0,1.636703,0.000000,80.735110
31,2,1,1.135406,0.000000,83.257310
32,0,2,0.601196,0.000000,85.512300
33,1,1,1.520203,0.000000,88.435300
34,2,2,1.503006,0.000000,91.358310
35,0,1,0.985397,0.000000,93.797000
36,1,0,1.235809,0.000000,96.669710
37,2,1,0.384201,0.000000,98.440400
38,0,1,0.652313,0.000000,100.745900
39,1,1,0.250000,0.000000,102.648900
40,2,2,3.290802,0.000000,107.359600
41,0,0,1.703812,0.000000,110.516500
42,1,1,0.551209,0.000000,112.520500
43,2,2,0.818207,0.000000,114.758800
44,0,0,0.935410,0.000000,117.147500
45,1,1,0.617798,0.000000,119.218200
46,2,2,0.484192,0.000000,121.122300
47,1,0,0.534699,0.000000,123.110400
48,1,1,0.718201,0.000000,125.214600
49,2,0,1.319199,0.000000,127.954100
50,0,1,1.202606,0.000000,130.542900
51,1,0,0.968491,0.000000,133.165100
52,2,2,0.801392,0.000000,135.353300
53,0,2,1.119095,0.000000,137.925700
54,1,1,1.135406,0.000000,140.464200
55,2,1,1.687103,0.000000,143.571100
56,0,0,1.219208,0.000000,146.444100
57,1,1,1.503510,0.000000,149.400400
58,2,2,0.701096,0.000000,151.521600
59,0,1,4.175797,0.000000,157.150400
60,1,1,1.018692,0.000000,159.823000
61,2,2,0.735199,0.000000,161.977600
62,0,1,1.068512,0.000000,164.499700
63,1,1,1.051697,0.000000,167.205400
64,2,2,0.534500,0.000000,169.159600
65,0,1,0.601105,0.000000,171.214200
66,1,1,1.519501,0.000000,174.387700
67,2,2,0.802307,0.000000,176.609500
68,0,0,0.901703,0.000000,178.964200
69,1,1,0.417511,0.000000,180.834800
70,2,2,0.451202,0.000000,182.705800
71,0,1,1.018494,0.000000,185.177600
72,1,1,1.069214,0.000000,187.900400
73,2,2,7.632996,0.000000,196.953200
74,0,1,0.533997,0.000000,198.940800
75,1,1,0.534210,0.000000,201.129100
76,2,2,2.856079,0.000000,205.404500
77,0,1,0.501404,0.000000,207.359100
78,1,1,0.517914,0.000000,209.513700
79,2,2,36.963290,0.000000,247.896900
80,0,1,3.474304,0.000000,252.823900
81,1,1,0.301178,0.000000,254.778500
82,2,2,0.567810,0.000000,256.766000
83,0,0,0.600983,0.000000,258.820300
84,1,1,0.317200,0.000000,260.590600
85,2,2,0.501190,0.000000,262.511500
86,1,1,0.584900,0.000000,264.549300
87,1,0,0.500702,0.000000,266.469900
88,2,1,1.286194,0.000000,269.142500
89,0,0,0.431793,0.000000,271.230200
90,1,2,0.701294,0.000000,273.384700
91,2,1,0.216797,0.000000,275.005200
92,0,1,0.534699,0.000000,277.193300
