move,waitedResult,optionChosen,movementTime,pauseTime,timeRunning
1,1,0,5.955490,0.000000,5.962387
2,2,2,5.602707,0.000000,12.953400
3,0,1,6.102997,0.000000,20.511600
4,1,1,3.948395,0.000000,26.099400
5,2,2,3.629700,0.000000,31.150700
6,0,2,5.251495,0.000000,37.856990
7,1,1,4.463898,0.000000,43.726090
8,2,2,3.144012,0.000000,48.293700
9,0,0,2.726303,0.000000,52.474900
10,1,1,1.956802,0.000000,55.870100
11,2,2,1.052704,0.000000,58.345290
12,1,0,1.438095,0.000000,61.238690
13,1,0,3.428391,0.000000,66.055590
14,2,0,2.290985,0.000000,69.735090
15,1,2,4.833405,0.000000,75.956990
16,1,0,4.231293,0.000000,81.593490
17,2,1,5.920380,0.000000,88.902080
18,1,2,2.574005,0.000000,93.115490
19,1,1,1.789307,0.000000,96.311390
20,2,0,1.940002,0.000000,99.673200
21,0,2,2.993805,0.000000,104.055200
22,1,2,1.187103,0.000000,106.647500
23,2,2,0.869507,0.000000,108.922300
24,0,1,1.120605,0.000000,111.497900
25,1,1,1.254303,0.000000,114.391500
26,2,0,2.592194,0.000000,118.405300
27,0,0,1.806122,0.000000,121.599800
28,1,1,1.220886,0.000000,124.259300
29,2,2,2.926788,0.000000,128.607600
30,0,0,1.923279,0.000000,131.986400
31,1,1,1.488403,0.000000,134.913100
32,2,2,2.793091,0.000000,139.127800
33,0,0,1.754791,0.000000,142.337600
34,1,1,1.521698,0.000000,145.299300
35,2,2,2.675995,0.000000,149.397100
36,0,0,1.506378,0.000000,152.357300
37,1,1,1.454987,0.000000,155.251000
38,2,0,2.023804,0.000000,158.696400
39,0,0,2.023712,0.000000,162.108300
40,1,1,0.668701,0.000000,164.215400
41,2,2,2.659119,0.000000,168.296400
42,0,0,1.371124,0.000000,171.122900
43,1,1,0.484711,0.000000,173.044900
44,2,1,6.973999,0.000000,181.442300
45,0,1,1.104706,0.000000,184.185400
46,1,1,0.568604,0.000000,186.393000
47,2,2,1.956299,0.000000,189.771300
48,0,0,0.785980,0.000000,192.012700
49,1,1,0.484589,0.000000,193.936000
50,2,2,1.956604,0.000000,197.314500
51,1,0,1.505096,0.000000,200.274900
52,1,0,0.852997,0.000000,202.516200
53,2,0,1.103577,0.000000,205.008000
54,1,0,2.742706,0.000000,209.139000
55,1,1,0.637207,0.000000,211.163500
56,2,0,4.281525,0.000000,216.866100
57,0,0,1.505402,0.000000,219.760000
58,1,2,1.454620,0.000000,222.653000
59,2,1,0.434601,0.000000,224.492800
60,0,2,0.936188,0.000000,227.068300
61,1,1,0.368012,0.000000,228.841500
62,2,0,1.505188,0.000000,231.768400
63,0,0,0.851807,0.000000,234.009600
64,1,1,0.936615,0.000000,236.384500
65,2,2,3.512024,0.000000,241.318400
66,0,1,0.919586,0.000000,243.693300
67,1,1,1.036621,0.000000,246.369300
68,2,2,1.756012,0.000000,249.547100
69,0,1,4.331421,0.000000,255.333900
70,1,0,0.317719,0.000000,257.290900
71,2,1,0.986511,0.000000,259.665700
72,0,0,1.103516,0.000000,262.408700
73,1,1,0.702301,0.000000,264.566200
74,2,2,0.501404,0.000000,266.489700
75,0,0,1.706085,0.000000,269.650900
76,1,1,0.417816,0.000000,271.507100
77,2,2,0.300903,0.000000,273.230000
78,0,0,1.304688,0.000000,275.989900
79,1,1,0.334412,0.000000,277.762500
80,2,2,0.434815,0.000000,279.619000
81,0,0,1.371002,0.000000,282.445400
82,1,1,0.451080,0.000000,284.335200
