move,waitedResult,optionChosen,movementTime,pauseTime,timeRunning
1,2,0,2.575012,0.000000,2.589508
2,0,0,3.777893,0.000000,7.752899
3,1,1,3.193878,0.000000,12.387600
4,2,2,1.253204,0.000000,15.062410
5,1,0,0.669190,0.000000,17.186890
6,1,0,0.836304,0.000000,19.411190
7,2,0,0.820282,0.000000,21.618990
8,0,0,1.321381,0.000000,24.328490
9,1,0,2.777191,0.000000,28.544280
10,2,2,1.138702,0.000000,31.068600
11,0,1,1.253387,0.000000,33.777190
12,1,1,1.070099,0.000000,36.487300
13,2,2,1.672699,0.000000,39.581600
14,1,1,1.153015,0.000000,42.190310
15,1,0,0.552490,0.000000,44.164490
16,2,1,0.535126,0.000000,46.087310
17,0,0,0.918488,0.000000,48.645780
18,1,1,0.837189,0.000000,50.922090
19,2,2,1.035400,0.000000,53.378970
20,0,1,1.722717,0.000000,56.558110
21,1,1,0.284058,0.000000,58.481080
22,2,0,0.769287,0.000000,60.671390
23,0,1,0.736145,0.000000,62.796020
24,1,1,0.651184,0.000000,65.086670
25,2,1,2.090576,0.000000,68.599670
26,0,1,0.184021,0.000000,70.422420
27,1,1,0.250000,0.000000,72.312620
28,2,2,0.918030,0.000000,74.653500
29,1,0,2.259216,0.000000,78.368590
30,1,0,0.484192,0.000000,80.239500
31,2,0,0.587097,0.000000,82.214970
32,0,0,1.085938,0.000000,84.689510
33,1,1,0.450012,0.000000,86.578980
34,2,1,1.437927,0.000000,89.439510
35,0,1,0.299927,0.000000,91.379390
36,1,1,0.251770,0.000000,93.269590
37,2,2,0.601013,0.000000,95.293090
38,0,0,1.287903,0.000000,98.035580
39,1,1,0.501709,0.000000,99.976620
40,2,2,0.737488,0.000000,102.134800
41,0,0,0.701721,0.000000,104.291300
42,1,1,0.301148,0.000000,106.030500
43,2,2,0.468994,0.000000,107.921700
44,0,0,0.736389,0.000000,110.111600
45,1,1,0.285400,0.000000,111.835300
46,2,2,0.433899,0.000000,113.689900
47,1,1,0.434204,0.000000,115.580500
48,1,0,0.348999,0.000000,117.352500
49,2,0,0.618408,0.000000,119.360500
50,1,0,0.701782,0.000000,121.450800
51,1,0,0.600891,0.000000,123.440500
52,2,0,0.602051,0.000000,125.431500
53,0,0,0.769592,0.000000,127.589300
54,1,1,2.357178,0.000000,131.385100
55,2,2,0.603027,0.000000,133.410800
56,0,1,0.568115,0.000000,135.433600
57,1,0,0.318237,0.000000,137.391400
58,2,0,0.551086,0.000000,139.329500
59,0,1,0.484924,0.000000,141.203100
60,1,1,0.685486,0.000000,143.528100
61,2,2,1.589783,0.000000,146.539400
62,0,0,0.718384,0.000000,148.713500
63,1,1,0.652405,0.000000,150.804200
64,2,2,1.471497,0.000000,153.697300
65,0,1,1.690125,0.000000,156.842700
66,1,1,0.284424,0.000000,158.764700
67,2,2,0.852600,0.000000,161.039300
68,0,0,1.051819,0.000000,163.547500
69,1,1,0.315857,0.000000,165.303800
70,2,2,0.351807,0.000000,167.077700
71,0,1,0.385376,0.000000,168.918300
72,1,1,0.318420,0.000000,170.874000
73,2,2,0.234192,0.000000,172.529600
74,0,0,0.652710,0.000000,174.638100
75,1,1,0.333130,0.000000,176.409100
76,2,2,0.350037,0.000000,178.182000
77,1,1,0.501465,0.000000,180.140700
78,1,0,0.134033,0.000000,181.695000
79,2,1,0.550598,0.000000,183.634300
80,0,0,0.668091,0.000000,185.942500
81,1,1,0.634888,0.000000,188.016900
82,2,2,0.250427,0.000000,189.689800
83,1,1,0.970886,0.000000,192.115200
84,1,0,0.268494,0.000000,193.804400
85,2,0,0.584168,0.000000,195.776700
86,1,0,0.452210,0.000000,197.617500
87,1,0,0.385376,0.000000,199.391500
88,2,0,0.417114,0.000000,201.197000
89,0,1,0.484619,0.000000,203.070000
90,1,2,1.101563,0.000000,205.811800
91,2,1,0.418335,0.000000,207.636400
92,0,0,0.500671,0.000000,209.775700
93,1,1,1.103455,0.000000,212.335300
94,2,2,0.317566,0.000000,214.075100
95,0,1,0.401123,0.000000,215.930900
96,1,1,0.151367,0.000000,217.721400
97,2,2,0.753296,0.000000,219.896500
98,0,0,0.970276,0.000000,222.320400
99,1,1,1.270874,0.000000,225.028900
100,2,2,0.182617,0.000000,226.635500
101,0,1,0.433838,0.000000,228.524700
102,1,1,0.184570,0.000000,230.365800
103,2,2,0.854004,0.000000,232.640400
104,0,0,0.485413,0.000000,234.580000
105,1,1,0.385193,0.000000,236.403100
106,2,2,0.502075,0.000000,238.326500
107,0,1,0.484924,0.000000,240.266600
108,1,0,0.669128,0.000000,242.574500
109,2,1,0.401978,0.000000,244.365300
110,0,1,1.036072,0.000000,247.039400
111,1,1,1.072021,0.000000,249.750900
112,2,2,0.651489,0.000000,251.824200
113,0,0,0.586182,0.000000,253.864900
114,1,1,0.335632,0.000000,255.638100
115,2,2,0.334961,0.000000,257.393100
116,1,0,0.919678,0.000000,259.769000
117,1,0,0.502014,0.000000,261.658100
118,2,0,0.585877,0.000000,263.632400
119,0,1,1.404480,0.000000,266.424100
120,1,1,0.233582,0.000000,268.297800
121,2,2,0.233887,0.000000,269.953000
122,0,0,0.434876,0.000000,271.843900
123,1,1,0.333740,0.000000,273.633100
124,2,2,0.484985,0.000000,275.540000
125,0,1,0.670166,0.000000,277.665300
126,1,0,0.299805,0.000000,279.603200
127,2,1,0.685730,0.000000,281.678400
128,0,1,0.936279,0.000000,284.252900
129,1,1,1.053406,0.000000,286.946700
130,2,2,0.301880,0.000000,288.669500
131,0,0,0.467712,0.000000,290.592300
132,1,1,0.468445,0.000000,292.499300
133,2,2,0.117432,0.000000,294.038200
134,0,0,0.451599,0.000000,295.944200
135,1,1,0.351318,0.000000,297.733900
136,2,2,0.468201,0.000000,299.624200
137,0,1,1.353149,0.000000,302.433500
138,1,1,1.320618,0.000000,305.394200
139,2,2,0.234131,0.000000,307.049600
140,1,0,0.535706,0.000000,309.041200
141,1,0,0.736084,0.000000,311.164300
142,2,0,1.319336,0.000000,313.873100
143,0,0,3.077576,0.000000,318.339400
144,1,2,1.520569,0.000000,321.316500
145,2,2,0.770081,0.000000,323.491100
146,1,1,2.189514,0.000000,327.136000
147,1,0,1.220093,0.000000,329.778800
148,2,0,0.887878,0.000000,332.055300
149,1,0,0.652466,0.000000,334.094800
150,1,1,0.534729,0.000000,336.017800
151,2,2,1.404175,0.000000,338.844000
152,1,0,0.618469,0.000000,340.918300
153,1,0,0.735107,0.000000,343.042500
154,2,1,0.450378,0.000000,344.882400
155,0,0,1.338074,0.000000,347.859500
156,1,2,0.668823,0.000000,349.966700
157,2,1,0.384277,0.000000,351.756000
158,0,0,0.785095,0.000000,354.180800
159,1,2,0.451233,0.000000,356.088300
160,2,1,0.670105,0.000000,358.162600
161,0,0,1.621704,0.000000,361.423400
162,1,2,0.769775,0.000000,363.631900
163,2,1,0.935791,0.000000,365.972800
164,1,0,0.116028,0.000000,367.727900
165,1,1,0.484619,0.000000,369.603200
166,2,2,0.485901,0.000000,371.509900
167,0,0,0.718018,0.000000,373.682200
168,1,1,1.673279,0.000000,376.811400
169,2,2,0.082947,0.000000,378.316500
170,0,0,0.953857,0.000000,380.724400
171,1,1,0.685486,0.000000,382.848200
172,2,2,0.315735,0.000000,384.586900
173,0,1,1.304688,0.000000,387.348100
174,1,1,0.518066,0.000000,389.504900
175,2,1,0.333862,0.000000,391.260100
176,0,1,0.149780,0.000000,393.049900
177,1,1,1.138245,0.000000,395.827800
178,2,2,0.368286,0.000000,397.617000
179,0,0,0.401184,0.000000,399.474200
180,1,1,0.936401,0.000000,401.848400
181,2,2,0.183411,0.000000,403.454100
182,0,1,0.653198,0.000000,405.561100
183,1,1,0.769409,0.000000,407.970800
184,2,2,0.284790,0.000000,409.675800
185,0,0,0.335022,0.000000,411.465200
186,1,1,0.433777,0.000000,413.354200
187,2,2,0.769226,0.000000,415.545100
188,1,0,0.569702,0.000000,417.570900
189,1,0,0.483826,0.000000,419.443000
190,2,1,0.770569,0.000000,421.601400
191,0,0,0.701294,0.000000,423.942200
192,1,2,0.367310,0.000000,425.747500
193,2,1,0.770264,0.000000,427.923300
194,0,0,0.919800,0.000000,430.481700
195,1,1,0.935486,0.000000,432.855900
196,2,2,0.184692,0.000000,434.462600
197,1,0,0.366028,0.000000,436.284600
198,1,1,0.702087,0.000000,438.376000
199,2,1,0.651428,0.000000,440.449100
200,0,0,0.633484,0.000000,442.723600
201,1,2,0.284790,0.000000,444.447100
202,2,1,0.585510,0.000000,446.437000
203,1,0,0.283997,0.000000,448.360800
204,1,0,1.203491,0.000000,450.952900
205,2,1,0.904053,0.000000,453.244900
206,0,0,0.451965,0.000000,455.335300
207,1,2,0.351502,0.000000,457.125200
208,2,1,0.602112,0.000000,459.131400
209,0,2,0.218445,0.000000,460.989400
210,1,1,1.620850,0.000000,464.014500
211,2,2,0.333008,0.000000,465.771400
212,1,0,0.283875,0.000000,467.511000
213,1,1,0.335388,0.000000,469.234400
214,2,1,0.584229,0.000000,471.239800
215,0,0,0.653198,0.000000,473.533200
216,1,1,1.439758,0.000000,476.410000
217,2,2,0.200684,0.000000,478.032300
218,0,1,0.568726,0.000000,480.055000
219,1,1,0.350647,0.000000,482.044900
220,2,2,0.250610,0.000000,483.717700
221,0,0,1.402832,0.000000,486.576900
222,1,1,1.053467,0.000000,489.069100
223,2,2,0.148987,0.000000,490.641600
224,0,1,2.357178,0.000000,494.454900
225,1,1,0.284302,0.000000,496.378600
226,2,2,0.768555,0.000000,498.568700
227,0,0,1.155396,0.000000,501.179800
228,1,1,0.768616,0.000000,503.386300
229,2,2,0.150818,0.000000,504.959700
230,0,1,0.501892,0.000000,506.915300
231,1,1,1.070679,0.000000,509.625000
232,2,2,0.284912,0.000000,511.331000
233,0,0,0.518494,0.000000,513.304400
234,1,1,0.501404,0.000000,515.244400
235,2,2,0.684998,0.000000,517.351600
236,0,1,2.927002,0.000000,521.733900
237,1,1,0.235107,0.000000,523.608400
238,2,2,0.215881,0.000000,525.245500
239,0,0,0.635986,0.000000,527.337800
240,1,1,0.701904,0.000000,529.494200
241,2,2,0.216797,0.000000,531.133200
242,1,1,0.418884,0.000000,533.007400
243,1,0,1.303467,0.000000,535.733100
244,2,1,0.568604,0.000000,537.689200
245,0,1,0.383972,0.000000,539.712600
246,1,1,0.301209,0.000000,541.653800
247,2,1,0.585754,0.000000,543.660500
248,1,0,0.803101,0.000000,546.102500
249,1,1,0.467896,0.000000,547.958700
250,2,1,0.469116,0.000000,549.849300
251,1,0,0.786072,0.000000,552.274000
252,1,1,0.417175,0.000000,554.079600
253,2,2,1.053284,0.000000,556.555000
254,0,0,0.416931,0.000000,558.428100
255,1,1,0.501587,0.000000,560.368900
256,2,2,0.619019,0.000000,562.409600
257,1,0,0.333740,0.000000,564.198100
258,1,0,1.070068,0.000000,566.657000
259,2,1,0.601807,0.000000,568.647300
260,0,0,0.601318,0.000000,570.889000
261,1,2,0.602783,0.000000,572.930200
262,2,1,0.468506,0.000000,574.802600
263,0,0,0.300537,0.000000,576.742500
264,1,2,2.375488,0.000000,580.574000
265,2,2,0.869263,0.000000,582.847500
266,1,0,0.217285,0.000000,584.520000
267,1,0,0.469605,0.000000,586.377900
268,2,1,0.317749,0.000000,588.082600
269,1,2,0.134644,0.000000,589.856600
270,1,1,0.650513,0.000000,591.912000
271,2,2,0.802856,0.000000,594.137400
272,1,0,0.485107,0.000000,596.077100
273,1,1,0.336182,0.000000,597.801000
274,2,1,0.717651,0.000000,599.939100
275,0,1,0.467529,0.000000,602.047100
276,1,2,1.371826,0.000000,605.058700
277,2,1,0.484009,0.000000,606.947800
278,0,0,0.117188,0.000000,608.704500
279,1,1,1.222412,0.000000,611.365100
280,2,2,0.050537,0.000000,612.836000
281,0,0,0.634399,0.000000,614.925100
282,1,1,1.205078,0.000000,617.569600
283,2,2,0.068359,0.000000,619.058500
284,0,1,1.069702,0.000000,621.582200
285,1,1,0.048950,0.000000,623.272200
286,2,2,0.099976,0.000000,624.794300
287,0,0,0.468018,0.000000,626.717600
288,1,1,0.234009,0.000000,628.406900
289,2,2,0.919190,0.000000,630.747700
290,0,1,0.317383,0.000000,632.520900
291,1,1,0.166748,0.000000,634.326800
292,2,2,0.216919,0.000000,635.966200
293,0,0,0.016724,0.000000,637.438500
294,1,1,0.167114,0.000000,639.044300
295,2,2,1.069092,0.000000,641.536200
296,0,1,0.886475,0.000000,643.878000
297,1,1,0.919190,0.000000,646.436600
298,2,2,0.383911,0.000000,648.242200
299,0,0,0.268066,0.000000,649.965600
300,1,1,0.149902,0.000000,651.554100
301,2,2,0.703735,0.000000,653.679400
302,0,2,0.585327,0.000000,655.719200
303,1,1,0.819824,0.000000,657.943400
304,2,2,0.249756,0.000000,659.615300
305,0,0,0.719482,0.000000,661.790200
306,1,1,0.283814,0.000000,663.512900
307,2,1,0.535034,0.000000,665.468800
308,0,1,1.003296,0.000000,668.111800
309,1,1,0.065430,0.000000,669.817300
310,2,2,0.083984,0.000000,671.323500
311,1,0,0.751343,0.000000,673.530500
312,1,0,0.651367,0.000000,675.570900
313,2,1,0.333740,0.000000,677.293400
314,1,1,1.070435,0.000000,680.003600
315,1,2,0.434448,0.000000,681.859800
316,2,1,0.334473,0.000000,683.599900
317,0,0,0.099854,0.000000,685.338400
318,1,2,0.669067,0.000000,687.463200
319,2,1,0.401856,0.000000,689.269600
320,0,0,0.049683,0.000000,690.958900
321,1,1,0.266357,0.000000,692.664900
322,2,2,0.668823,0.000000,694.755300
323,0,1,0.517456,0.000000,696.729200
324,1,1,0.551758,0.000000,698.920000
325,2,2,0.083618,0.000000,700.425200
326,0,1,0.366943,0.000000,702.247600
327,1,1,1.153442,0.000000,705.041400
328,2,2,0.233032,0.000000,706.697200
329,0,0,0.736816,0.000000,708.889300
330,1,1,0.149658,0.000000,710.493600
331,2,2,0.602661,0.000000,712.518000
332,0,0,1.103882,0.000000,715.076700
333,1,1,0.082031,0.000000,716.598200
334,2,2,0.635742,0.000000,718.656600
335,0,1,2.943115,0.000000,735.782300
336,1,1,0.065430,0.000000,737.487900
337,2,2,0.116089,0.000000,739.025900
338,0,0,0.852051,0.000000,741.334300
339,1,1,0.199951,0.000000,742.990100
340,2,2,0.014526,0.000000,744.428200
341,0,0,1.154053,0.000000,747.038400
342,1,1,0.032471,0.000000,748.525800
343,2,2,1.137817,0.000000,751.085800
344,0,1,0.636353,0.000000,753.176700
345,1,1,0.084473,0.000000,754.901300
346,2,2,0.217529,0.000000,756.539400
347,0,0,0.150635,0.000000,758.143700
348,1,1,0.200317,0.000000,759.782700
349,2,2,0.835693,0.000000,762.040100
350,0,0,0.601685,0.000000,764.097800
351,1,1,0.035034,0.000000,765.570900
352,2,2,0.016113,0.000000,767.007800
353,1,0,0.050781,0.000000,768.514300
354,1,1,0.618286,0.000000,770.520300
355,2,1,0.268311,0.000000,772.209800
356,0,0,0.634888,0.000000,774.484400
357,1,2,0.803955,0.000000,776.725900
358,2,2,0.485474,0.000000,778.615700
359,0,0,0.131592,0.000000,780.203200
360,1,1,0.284424,0.000000,781.926800
361,2,2,0.099609,0.000000,783.448900
362,0,0,1.504028,0.000000,786.409200
363,1,1,0.118652,0.000000,787.966200
364,2,2,0.568115,0.000000,789.954700
365,0,0,0.669190,0.000000,792.079000
366,1,1,0.300293,0.000000,793.818500
367,2,2,0.352783,0.000000,795.592300
368,1,0,0.282959,0.000000,797.330600
369,1,1,0.367798,0.000000,799.088000
370,2,1,1.053833,0.000000,801.562200
371,0,0,0.066772,0.000000,803.267900
372,1,1,0.350586,0.000000,805.056700
373,2,2,0.267456,0.000000,806.746800
374,1,0,0.199829,0.000000,808.402000
375,1,1,0.736694,0.000000,810.527600
376,2,2,0.753784,0.000000,812.702300
377,0,0,0.267090,0.000000,814.424700
