move,waitedResult,optionChosen,movementTime,pauseTime,timeRunning
643,1,0,0.499390,0.000000,1708.730000
644,1,1,0.316650,0.000000,1710.430000
645,2,2,0.582520,0.000000,1712.429000
646,0,0,1.649780,0.000000,1715.530000
647,1,1,0.366455,0.000000,1717.346000
648,2,2,0.566162,0.000000,1719.329000
649,1,0,0.383179,0.000000,1721.162000
650,1,1,0.315918,0.000000,1722.862000
651,2,2,3.232666,0.000000,1727.512000
652,0,1,0.949707,0.000000,1729.911000
653,1,1,0.599609,0.000000,1732.161000
654,2,2,0.116699,0.000000,1733.694000
655,0,0,0.466431,0.000000,1735.611000
656,1,1,0.349731,0.000000,1737.411000
657,2,2,0.299561,0.000000,1739.127000
658,0,2,0.116455,0.000000,1740.693000
659,1,1,1.667114,0.000000,1743.760000
660,2,2,0.149536,0.000000,1745.326000
661,0,0,0.216065,0.000000,1746.993000
662,1,1,0.482544,0.000000,1748.926000
663,2,2,0.116821,0.000000,1750.459000
664,0,0,0.582886,0.000000,1752.492000
665,1,1,0.316284,0.000000,1754.259000
666,2,2,0.232788,0.000000,1755.908000
667,0,0,0.499512,0.000000,1757.858000
668,1,1,0.282715,0.000000,1759.591000
669,2,1,6.365967,0.000000,1795.471000
670,0,1,0.299683,0.000000,1797.421000
671,1,1,0.766480,0.000000,1799.837000
672,2,2,0.316284,0.000000,1801.570000
673,1,0,0.099609,0.000000,1803.120000
674,1,0,1.583496,0.000000,1806.087000
675,2,2,1.749756,0.000000,1809.220000
676,1,0,1.166382,0.000000,1811.836000
677,1,1,1.849609,0.000000,1815.069000
678,2,2,0.749756,0.000000,1817.235000
679,0,1,0.699585,0.000000,1819.385000
680,1,1,1.349609,0.000000,1822.385000
681,2,2,0.582886,0.000000,1824.385000
682,0,0,0.216431,0.000000,1826.051000
683,1,1,0.632813,0.000000,1828.134000
684,2,2,0.116455,0.000000,1829.667000
685,0,0,0.216187,0.000000,1831.334000
686,1,1,0.383423,0.000000,1833.167000
687,2,2,0.366699,0.000000,1834.950000
688,0,0,0.282715,0.000000,1836.683000
689,1,1,1.099365,0.000000,1839.233000
690,2,2,0.015991,0.000000,1840.666000
691,0,0,0.300171,0.000000,1842.417000
692,1,1,0.416260,0.000000,1844.283000
693,2,2,0.166504,0.000000,1845.866000
694,1,0,0.266480,0.000000,1847.582000
695,1,2,2.666382,0.000000,1851.632000
696,2,2,1.083252,0.000000,1854.115000
697,1,0,0.616455,0.000000,1856.181000
698,1,1,3.665894,0.000000,1861.231000
699,2,2,1.083252,0.000000,1863.731000
700,1,1,0.866699,0.000000,1866.047000
701,1,0,1.049561,0.000000,1868.513000
702,2,2,1.565918,0.000000,1871.462000
703,0,1,0.632935,0.000000,1873.546000
704,1,1,0.216187,0.000000,1875.412000
705,2,2,0.433228,0.000000,1877.262000
706,0,1,1.549561,0.000000,1880.262000
707,1,1,2.049561,0.000000,1883.962000
708,2,2,0.115967,0.000000,1885.494000
709,0,0,1.532959,0.000000,1888.478000
710,1,1,0.466065,0.000000,1890.394000
711,2,2,0.150147,0.000000,1891.961000
712,0,0,0.199341,0.000000,1893.610000
713,1,1,0.383057,0.000000,1895.444000
714,2,2,0.432983,0.000000,1897.293000
715,0,0,0.249512,0.000000,1898.993000
716,1,1,0.199707,0.000000,1900.643000
717,2,2,0.015747,0.000000,1902.076000
718,0,0,0.299805,0.000000,1903.826000
719,1,1,0.032471,0.000000,1905.309000
720,2,2,0.149658,0.000000,1906.876000
721,0,0,0.282959,0.000000,1908.609000
722,1,1,0.383057,0.000000,1910.442000
723,2,2,0.132568,0.000000,1911.992000
724,1,0,0.249268,0.000000,1913.692000
725,1,2,2.049561,0.000000,1917.125000
726,2,2,1.133057,0.000000,1919.658000
727,1,1,0.949463,0.000000,1922.058000
728,1,2,0.983398,0.000000,1924.457000
729,2,2,1.550049,0.000000,1927.407000
730,0,1,1.133057,0.000000,1929.990000
731,1,1,1.766113,0.000000,1933.406000
732,2,2,0.099365,0.000000,1934.923000
733,0,0,0.715820,0.000000,1937.089000
734,1,1,0.432861,0.000000,1938.972000
735,2,2,0.082764,0.000000,1940.472000
736,1,0,0.432861,0.000000,1942.355000
737,1,1,1.616455,0.000000,1945.355000
738,2,2,0.066162,0.000000,1946.838000
739,0,0,0.216553,0.000000,1948.505000
740,1,2,1.599609,0.000000,1951.554000
741,2,2,0.766357,0.000000,1953.721000
742,0,0,0.532715,0.000000,1955.704000
743,1,1,0.249756,0.000000,1957.404000
744,2,2,0.300049,0.000000,1959.120000
745,0,0,0.166260,0.000000,1960.737000
746,1,1,0.299561,0.000000,1962.486000
747,2,2,0.165772,0.000000,1964.070000
748,0,0,0.199707,0.000000,1965.719000
749,1,1,0.249512,0.000000,1967.419000
750,2,2,0.049561,0.000000,1968.886000
751,0,0,0.132568,0.000000,1970.469000
752,1,1,1.566162,0.000000,1973.485000
753,2,2,1.316406,0.000000,1976.218000
754,0,0,0.132813,0.000000,1977.801000
755,1,1,0.416016,0.000000,1979.668000
756,2,2,0.216797,0.000000,1981.301000
757,0,0,0.532715,0.000000,1983.284000
758,1,1,0.183106,0.000000,1984.918000
759,2,2,0.015869,0.000000,1986.350000
760,1,0,0.182861,0.000000,1987.984000
761,1,1,3.083008,0.000000,1992.450000
762,2,2,0.016113,0.000000,1993.883000
763,0,0,0.200195,0.000000,1995.533000
764,1,1,0.449951,0.000000,1997.433000
765,2,2,0.282959,0.000000,1999.132000
766,0,0,0.566162,0.000000,2001.149000
767,1,1,0.349609,0.000000,2002.949000
768,2,2,0.216309,0.000000,2004.582000
769,0,0,0.166504,0.000000,2006.198000
770,1,1,0.566406,0.000000,2008.215000
771,2,2,1.283203,0.000000,2010.915000
772,0,0,0.283447,0.000000,2012.648000
773,1,1,0.466309,0.000000,2014.564000
774,2,2,0.182861,0.000000,2016.164000
775,0,0,0.249756,0.000000,2017.864000
776,1,1,0.349365,0.000000,2019.663000
777,2,2,0.099854,0.000000,2021.180000
778,1,0,0.383057,0.000000,2023.013000
779,1,2,1.849609,0.000000,2026.246000
780,2,2,0.916016,0.000000,2028.563000
781,1,1,1.015869,0.000000,2031.029000
782,1,2,0.032715,0.000000,2032.479000
783,2,2,1.482422,0.000000,2035.362000
784,0,1,0.366211,0.000000,2037.178000
785,1,1,1.799805,0.000000,2040.628000
786,2,2,0.116455,0.000000,2042.161000
787,1,0,0.316650,0.000000,2043.928000
788,1,1,2.049316,0.000000,2047.360000
789,2,2,0.332031,0.000000,2049.110000
790,1,1,0.833252,0.000000,2051.393000
791,1,0,0.299316,0.000000,2053.110000
792,2,2,1.616699,0.000000,2056.110000
793,1,1,0.399414,0.000000,2057.959000
794,1,2,0.965820,0.000000,2060.343000
795,2,2,2.683105,0.000000,2064.426000
796,0,1,0.316406,0.000000,2066.192000
797,1,1,1.649414,0.000000,2069.492000
798,2,2,1.614990,0.000000,2072.524000
799,0,1,0.599854,0.000000,2074.575000
800,1,1,1.149414,0.000000,2077.374000
801,2,2,0.198975,0.000000,2078.990000
802,0,0,0.183106,0.000000,2080.624000
803,1,1,0.516113,0.000000,2082.590000
804,2,2,0.416260,0.000000,2084.423000
805,0,0,0.466309,0.000000,2086.340000
806,1,1,0.382080,0.000000,2088.172000
807,2,2,0.266602,0.000000,2089.856000
808,0,0,0.282959,0.000000,2091.590000
809,1,1,0.199707,0.000000,2093.239000
810,2,2,0.232422,0.000000,2094.889000
811,1,1,0.333252,0.000000,2096.672000
812,1,2,0.999756,0.000000,2099.089000
813,2,1,0.699951,0.000000,2101.188000
814,0,1,4.215576,0.000000,2107.054000
815,1,1,0.149902,0.000000,2108.854000
816,2,2,0.332764,0.000000,2110.604000
817,0,0,1.032715,0.000000,2113.087000
818,1,1,0.316650,0.000000,2114.854000
819,2,2,0.216309,0.000000,2116.487000
820,0,0,0.383057,0.000000,2118.320000
821,1,1,0.132813,0.000000,2119.903000
822,2,2,0.132813,0.000000,2121.453000
823,0,0,0.266357,0.000000,2123.169000
824,1,1,0.266113,0.000000,2124.885000
825,2,2,0.133057,0.000000,2126.436000
826,0,0,0.233154,0.000000,2128.119000
827,1,1,0.466553,0.000000,2130.035000
828,2,2,0.282471,0.000000,2131.735000
829,0,0,0.216309,0.000000,2133.402000
830,1,1,0.083008,0.000000,2134.935000
831,2,2,0.033203,0.000000,2136.385000
832,0,0,0.183594,0.000000,2138.018000
833,1,1,0.550049,0.000000,2140.018000
834,2,2,0.133301,0.000000,2141.568000
835,0,0,0.583008,0.000000,2143.600000
836,1,1,0.483398,0.000000,2145.534000
837,2,2,0.066650,0.000000,2147.017000
838,0,0,0.015625,0.000000,2148.483000
839,1,1,0.366455,0.000000,2150.300000
840,2,2,0.015869,0.000000,2151.733000
841,0,0,0.116211,0.000000,2153.299000
842,1,1,0.250000,0.000000,2154.999000
843,2,2,0.082764,0.000000,2156.499000
844,0,0,0.049561,0.000000,2157.999000
845,1,1,0.266602,0.000000,2159.716000
846,2,2,0.199951,0.000000,2161.332000
847,0,0,0.833008,0.000000,2163.615000
848,1,1,0.315430,0.000000,2165.381000
849,2,2,0.066406,0.000000,2166.865000
850,0,0,0.333496,0.000000,2168.648000
851,1,1,0.066650,0.000000,2170.165000
852,2,2,0.083008,0.000000,2171.664000
853,0,0,0.166260,0.000000,2173.281000
854,1,1,0.066162,0.000000,2174.797000
855,2,2,0.182861,0.000000,2176.397000
856,0,0,0.199951,0.000000,2178.047000
857,1,1,0.133057,0.000000,2179.630000
858,2,2,0.066162,0.000000,2181.113000
859,0,0,0.032715,0.000000,2182.596000
860,1,1,0.049072,0.000000,2184.096000
861,2,2,0.198975,0.000000,2185.713000
862,0,0,0.083252,0.000000,2187.246000
863,1,1,0.049316,0.000000,2188.745000
864,2,2,0.066406,0.000000,2190.229000
865,0,0,0.499268,0.000000,2192.178000
866,1,1,0.016113,0.000000,2193.645000
867,2,2,0.199463,0.000000,2195.261000
868,1,0,0.149658,0.000000,2196.861000
869,1,2,3.666016,0.000000,2201.911000
870,2,2,1.949707,0.000000,2205.260000
871,1,1,0.299561,0.000000,2207.010000
872,1,2,1.132080,0.000000,2209.560000
873,2,2,2.016357,0.000000,2212.977000
874,0,1,0.399658,0.000000,2214.826000
875,1,1,1.383301,0.000000,2217.859000
876,2,2,0.065918,0.000000,2219.342000
877,0,0,0.949463,0.000000,2221.742000
878,1,1,0.266357,0.000000,2223.458000
879,2,2,0.066406,0.000000,2224.942000
880,0,0,1.049316,0.000000,2227.441000
881,1,1,0.133057,0.000000,2229.025000
882,2,2,0.233154,0.000000,2230.675000
883,0,0,0.399414,0.000000,2232.524000
884,1,1,0.199707,0.000000,2234.174000
885,2,2,0.182861,0.000000,2235.774000
886,0,0,0.015869,0.000000,2237.240000
887,1,1,1.083008,0.000000,2239.774000
888,2,2,1.566162,0.000000,2242.757000
889,0,0,0.366211,0.000000,2244.573000
890,1,1,0.199707,0.000000,2246.223000
891,2,2,0.199219,0.000000,2247.839000
892,0,0,0.199463,0.000000,2249.489000
893,1,1,0.083252,0.000000,2251.022000
894,2,2,0.249756,0.000000,2252.688000
895,1,0,0.316895,0.000000,2254.456000
896,1,1,1.083008,0.000000,2256.922000
897,2,2,0.349609,0.000000,2258.688000
898,1,0,0.232910,0.000000,2260.371000
899,1,2,2.032715,0.000000,2263.787000
900,2,2,1.015625,0.000000,2266.204000
901,0,0,1.032959,0.000000,2268.687000
902,1,1,0.266113,0.000000,2270.404000
903,2,2,0.949707,0.000000,2272.770000
904,0,0,0.149658,0.000000,2274.370000
905,1,1,0.116699,0.000000,2275.937000
906,2,2,1.199951,0.000000,2278.553000
907,0,0,0.566406,0.000000,2280.569000
908,1,1,0.749756,0.000000,2282.769000
909,2,2,1.133057,0.000000,2285.319000
910,0,0,0.433106,0.000000,2287.202000
911,1,1,0.216553,0.000000,2288.868000
912,2,2,0.099365,0.000000,2290.385000
913,0,0,0.183106,0.000000,2292.018000
914,1,1,0.049805,0.000000,2293.518000
915,2,2,0.149902,0.000000,2295.084000
916,0,0,0.232910,0.000000,2296.767000
917,1,1,0.565918,0.000000,2298.784000
918,2,2,0.083252,0.000000,2300.284000
919,0,0,0.182861,0.000000,2301.917000
920,1,1,0.149414,0.000000,2303.517000
921,2,2,0.249512,0.000000,2305.183000
922,0,0,0.799805,0.000000,2307.433000
923,1,1,0.116455,0.000000,2309.000000
924,2,2,0.182861,0.000000,2310.599000
925,1,0,0.233398,0.000000,2312.282000
926,1,1,1.066406,0.000000,2314.732000
927,2,2,0.649902,0.000000,2316.799000
928,1,0,0.950440,0.000000,2319.198000
929,1,2,1.882813,0.000000,2322.465000
930,2,2,0.665772,0.000000,2324.531000
931,0,0,1.716553,0.000000,2327.698000
932,1,1,0.383057,0.000000,2329.531000
933,2,2,1.232910,0.000000,2332.180000
934,1,0,2.016357,0.000000,2335.647000
935,1,1,3.316162,0.000000,2340.346000
936,2,2,0.500000,0.000000,2342.263000
937,0,0,1.332764,0.000000,2345.045000
938,1,1,0.516357,0.000000,2347.012000
939,2,2,0.566650,0.000000,2348.995000
940,0,0,0.283203,0.000000,2350.728000
941,1,1,0.333252,0.000000,2352.511000
942,2,2,0.216065,0.000000,2354.145000
943,0,0,0.299805,0.000000,2355.895000
944,1,1,0.467041,0.000000,2357.811000
945,2,2,0.416748,0.000000,2359.644000
946,0,0,0.149902,0.000000,2361.244000
947,1,1,0.782959,0.000000,2363.477000
948,2,2,0.216309,0.000000,2365.110000
949,0,0,0.949463,0.000000,2367.510000
950,1,1,0.232910,0.000000,2369.193000
951,2,2,0.250000,0.000000,2370.860000
952,0,0,0.316650,0.000000,2372.626000
953,1,1,0.732910,0.000000,2374.809000
954,2,2,1.732666,0.000000,2377.959000
955,1,0,1.199951,0.000000,2380.608000
956,1,1,0.782715,0.000000,2382.775000
957,2,2,0.616211,0.000000,2384.808000
958,0,0,0.332764,0.000000,2386.591000
959,1,1,0.483398,0.000000,2388.524000
960,2,2,0.266602,0.000000,2390.208000
961,0,0,1.082520,0.000000,2392.740000
962,1,1,0.449707,0.000000,2394.640000
963,2,2,0.365967,0.000000,2396.423000
964,0,0,0.466309,0.000000,2398.340000
965,1,1,0.082764,0.000000,2399.873000
966,2,2,0.099854,0.000000,2401.390000
967,0,0,0.232666,0.000000,2403.073000
968,1,1,0.166016,0.000000,2404.689000
969,2,2,0.233398,0.000000,2406.339000
970,1,0,1.316406,0.000000,2409.105000
971,1,1,0.799316,0.000000,2411.289000
972,2,2,0.616455,0.000000,2413.322000
973,0,1,0.982910,0.000000,2415.754000
974,1,1,0.166260,0.000000,2417.571000
975,2,2,0.299316,0.000000,2419.287000
976,0,0,0.916260,0.000000,2421.654000
977,1,1,0.383057,0.000000,2423.487000
978,2,2,1.433105,0.000000,2426.337000
979,0,0,0.449707,0.000000,2428.237000
980,1,1,0.349609,0.000000,2430.036000
981,2,2,0.466309,0.000000,2431.920000
982,0,0,0.232910,0.000000,2433.603000
983,1,1,0.149170,0.000000,2435.202000
984,2,2,0.283203,0.000000,2436.901000
985,0,0,0.216797,0.000000,2438.568000
986,1,1,0.233398,0.000000,2440.251000
987,2,2,0.216309,0.000000,2441.885000
988,0,0,0.716309,0.000000,2444.052000
989,1,1,0.882813,0.000000,2446.384000
990,2,2,0.499512,0.000000,2448.301000
991,0,0,0.716553,0.000000,2450.468000
992,1,1,0.666260,0.000000,2452.584000
993,2,2,0.082764,0.000000,2454.084000
994,0,0,0.616211,0.000000,2456.150000
995,1,1,0.583252,0.000000,2458.184000
996,2,2,0.116699,0.000000,2459.717000
997,0,0,0.316895,0.000000,2461.484000
998,1,1,0.082520,0.000000,2463.016000
999,2,2,0.166748,0.000000,2464.600000
1000,1,0,1.249268,0.000000,2467.299000
