       0  1     2  3   4  5         6  7  8
6000   1  1     1  1  12  1  50.83841  0  1
6001   1  1     2  1  12  1  4.057709  2  2
6002   1  1     3  1  12  1  3.016205  0  1
6003   1  1     4  1  12  1  0.941101  1  1
6004   1  1     5  1  12  1  2.009918  0  2
6005   1  1     6  1  12  1  1.641998  2  1
6006   1  1     7  1  12  1   0.97171  1  1
6007   1  1     8  1  12  1  1.917389  1  2
6008   1  1     9  1  12  1  2.923279  0  0
6009   1  1    10  1  12  1  1.423676  0  1
6010   1  1    11  1  12  1  0.720215  2  2
6011   1  1    12  1  12  1  1.255981  1  1
6012   1  1    13  1  12  1  1.269806  1  1
6013   1  1    14  1  12  1   1.12619  2  2
6014   1  1    15  1  12  1  1.286896  0  0
6015   1  1    16  1  12  1  2.798706  2  1
6016   1  1    17  1  12  1  1.384888  1  2
6017   1  1    18  1  12  1  1.138794  2  0
6018   1  1    19  1  12  1  0.384796  0  1
6019   1  1    20  1  12  1  2.091827  1  2
6020   1  1    21  1  12  1  1.724915  2  0
6021   1  1    22  1  12  1  0.787109  0  1
6022   1  1    23  1  12  1  0.670685  1  2
6023   1  1    24  1  12  1  0.351624  1  0
6024   1  1    25  1  12  1  1.743683  2  1
6025   1  1    26  1  12  1  1.407227  2  2
6026   1  1    27  1  12  1  1.088593  2  0
6027   1  1    28  1  12  1    0.8367  0  1
6028   1  1    29  1  12  1  0.553619  1  2
6029   1  1    30  1  12  1    1.9133  2  1
6030   1  1    31  1  12  1  0.820404  0  1
6031   1  1    32  1  12  1  0.502594  1  2
6032   1  1    33  1  12  1  0.652802  2  0
6033   1  1    34  1  12  1  0.958405  2  1
6034   1  1    35  1  12  1  2.279114  1  2
6035   1  1    36  1  12  1  0.391388  2  0
6036   1  1    37  1  12  1  0.853699  2  1
6037   1  1    38  1  12  1   0.51889  2  2
6038   1  1    39  1  12  1   14.0885  2  0
6039   1  1    40  1  12  1  2.822906  0  1
6040   1  1    41  1  12  1  0.769318  0  2
6041   1  1    42  1  12  1  2.824585  2  0
6042   1  1    43  1  12  1  0.480194  2  1
6043   1  1    44  1  12  1  0.487701  1  2
6044   1  1    45  1  12  1  2.008728  2  0
6045   1  1    46  1  12  1  0.826294  2  1
6046   1  1    47  1  12  1  0.617889  2  2
6047   1  1    48  1  12  1  10.92841  1  1
6048   1  1    49  1  12  1  2.710999  0  1
6049   1  1    50  1  12  1  0.671082  0  2
6050   1  1    51  1  12  1   0.73468  1  0
6051   1  1    52  1  12  1  0.318207  1  1
6052   1  1    53  1  12  1  3.199615  2  2
6053   1  1    54  1  12  1  0.635498  2  0
6054   1  1    55  1  12  1  1.607208  0  1
6055   1  1    56  1  12  1    2.8638  1  2
6056   1  1    57  1  12  1  1.526398  1  0
6057   1  1    58  1  12  1  1.072296  2  1
6058   1  1    59  1  12  1  0.670105  2  2
6059   1  1    60  1  12  1  2.395416  0  0
6060   1  1    61  1  12  1  1.574982  2  1
6061   1  1    62  1  12  1  0.988403  0  2
6062   1  1    63  1  12  1  0.603394  1  0
6063   1  1    64  1  12  1     0.737  0  1
6064   1  1    65  1  12  1  0.604889  2  2
6065   1  1    66  1  12  1   0.88739  2  0
6066   1  1    67  1  12  1  0.869812  0  1
6067   1  1    68  1  12  1  1.677002  2  2
6068   1  1    69  1  12  1  0.970123  0  0
6069   1  1    70  1  12  1   0.51947  1  1
6070   1  1    71  1  12  1  1.073425  2  2
6071   1  1    72  1  12  1  1.121796  0  0
6072   1  1    73  1  12  1  0.518677  1  1
6073   1  1    74  1  12  1   0.58551  2  2
6074   1  1    75  1  12  1  0.402344  0  0
6075   1  1    76  1  12  1  0.350891  1  1
6076   1  1    77  1  12  1  0.417664  2  2
6077   1  1    78  1  12  1  0.418518  0  1
6078   1  1    79  1  12  1  1.006042  0  1
6079   1  1    80  1  12  1  0.605591  0  2
6080   1  1    81  1  12  1  1.541809  1  1
6081   1  1    82  1  12  1  0.820618  1  1
6082   1  1    83  1  12  1  0.838562  1  2
6083   1  1    84  1  12  1  1.155151  2  1
6084   1  1    85  1  12  1  0.536072  0  1
6085   1  1    86  1  12  1  0.402588  0  2
6086   1  1    87  1  12  1  2.428528  1  0
6087   1  1    88  1  12  1   0.38446  1  1
6088   1  1    89  1  12  1    1.2229  2  2
6089   1  1    90  1  12  1  1.240112  2  0
6090   1  1    91  1  12  1   1.40448  0  1
6091   1  1    92  1  12  1  0.988281  1  2
6092   1  1    93  1  12  1   1.03949  2  0
6093   1  1    94  1  12  1  1.223999  2  1
6094   1  1    95  1  12  1   0.39978  2  2
6095   1  1    96  1  12  1  1.122131  2  0
6096   1  1    97  1  12  1  0.418701  2  1
6097   1  1    98  1  12  1  0.452271  2  2
6098   1  1    99  1  12  1  0.654541  2  0
6099   1  1   100  1  12  1  0.905884  0  1
6100   1  1   101  1  12  1  0.804504  0  2
6101   1  1   102  1  12  1  1.038086  0  1
6102   1  1   103  1  12  1  0.656311  0  1
6103   1  1   104  1  12  1    0.6875  0  2
6104   1  1   105  1  12  1  0.720703  0  0
6105   1  1   106  1  12  1  0.889099  1  1
6106   1  1   107  1  12  1  0.752686  1  2
6107   1  1   108  1  12  1   0.88855  2  1
6108   1  1   109  1  12  1  0.870117  0  1
6109   1  1   110  1  12  1  0.954224  1  2
6110   1  1   111  1  12  1  1.240112  2  1
6111   1  1   112  1  12  1   1.25708  2  1
6112   1  1   113  1  12  1  0.870239  2  2
6113   1  1   114  1  12  1  1.256592  0  1
6114   1  1   115  1  12  1  1.055298  1  1
6115   1  1   116  1  12  1  2.077087  0  2
6116   1  1   117  1  12  1  1.289429  2  0
6117   1  1   118  1  12  1  0.853088  2  1
6118   1  1   119  1  12  1  0.821777  2  2
6119   1  1   120  1  12  1  0.853577  2  0
6120   1  1   121  1  12  1  0.616272  0  1
6121   1  1   122  1  12  1  0.720703  0  2
6122   1  1   123  1  12  1  0.468811  0  1
6123   1  1   124  1  12  1  1.507568  1  1
6124   1  1   125  1  12  1   1.89502  2  2
6125   1  1   126  1  12  1  1.406006  1  0
6126   1  1   127  1  12  1  1.037476  1  1
6127   1  1   128  1  12  1  1.089294  0  2
6128   1  1   129  1  12  1  1.356506  2  0
6129   1  1   130  1  12  1  13.99023  2  1
6130   1  1   131  1  12  1  1.959839  0  2
6131   1  1   132  1  12  1  1.273071  0  0
6132   1  1   133  1  12  1  2.260681  2  1
6133   1  1   134  1  12  1  0.853455  2  2
6134   1  1   135  1  12  1   0.56958  1  1
6135   1  1   136  1  12  1  1.173767  1  1
6136   1  1   137  1  12  1  1.114868  0  2
6137   1  1   138  1  12  1  0.586853  2  0
6138   1  1   139  1  12  1  0.518494  2  1
6139   1  1   140  1  12  1  0.434204  2  2
6140   1  1   141  1  12  1   0.75238  1  0
6141   1  1   142  1  12  1  0.450684  1  1
6142   1  1   143  1  12  1  2.563843  1  2
6143   1  1   144  1  12  1  0.988525  2  1
6144   1  1   145  1  12  1  1.658997  2  1
6145   1  1   146  1  12  1   1.27301  2  2
6146   1  1   147  1  12  1  3.117676  0  0
6147   1  1   148  1  12  1  1.173279  1  1
6148   1  1   149  1  12  1   1.99231  0  2
6149   1  1   150  1  12  1   0.65448  2  0
6150   1  1   151  1  12  1  1.893311  1  1
6151   1  1   152  1  12  1  2.110596  0  2
6152   1  1   153  1  12  1  2.059814  2  0
6153   1  1   154  1  12  1  1.741516  1  1
6154   1  1   155  1  12  1  2.613586  0  2
6155   1  1   156  1  12  1  1.037598  2  0
6156   1  1   157  1  12  1  0.905212  2  1
6157   1  1   158  1  12  1   1.65979  2  2
6158   1  1   159  1  12  1  1.289917  2  0
6159   1  1   160  1  12  1  1.088257  0  1
6160   1  1   161  1  12  1  0.434143  1  2
6161   1  1   162  1  12  1  0.302002  1  0
6162   1  1   163  1  12  1  0.286987  1  1
6163   1  1   164  1  12  1  1.493103  0  2
6164   1  1   165  1  12  1  1.248108  0  1
6165   1  1   166  1  12  1  0.503601  1  1
6166   1  1   167  1  12  1  1.039185  0  2
6167   1  1   168  1  12  1  1.138794  2  0
6168   1  1   169  1  12  1  1.592224  2  1
6169   1  1   170  1  12  1  1.038696  1  2
6170   1  1   171  1  12  1  1.775635  0  0
6171   1  1   172  1  12  1  1.424988  1  1
6172   1  1   173  1  12  1  0.922363  2  2
6173   1  1   174  1  12  1  1.507324  0  0
6174   1  1   175  1  12  1  1.020691  1  1
6175   1  1   176  1  12  1   1.30658  2  2
6176   1  1   177  1  12  1  0.720154  0  0
6177   1  1   178  1  12  1   0.57019  1  1
6178   1  1   179  1  12  1  0.567139  2  2
6179   1  1   180  1  12  1  0.285095  0  0
6180   1  1   181  1  12  1  0.619629  1  1
6181   1  1   182  1  12  1  0.469116  2  2
6182   1  1   183  1  12  1  0.452515  0  0
6183   1  1   184  1  12  1  0.518738  1  1
6184   1  1   185  1  12  1  0.435547  2  2
6185   1  1   186  1  12  1  0.470459  0  0
6186   1  1   187  1  12  1   0.04895  1  1
6187   1  1   188  1  12  1  0.385193  2  2
6188   1  1   189  1  12  1  0.067078  0  1
6189   1  1   190  1  12  1  3.985718  1  1
6190   1  1   191  1  12  1  0.870361  2  2
6191   1  1   192  1  12  1  0.569702  0  1
6192   1  1   193  1  12  1  1.089172  1  1
6193   1  1   194  1  12  1  0.637146  2  2
6194   1  1   195  1  12  1  0.871521  0  0
6195   1  1   196  1  12  1  0.489075  1  1
6196   1  1   197  1  12  1  0.535584  2  2
6197   1  1   198  1  12  1  0.418518  0  0
6198   1  1   199  1  12  1  0.904419  1  1
6199   1  1   200  1  12  1  0.487122  2  2
6200   1  1   201  1  12  1  0.703491  0  1
6201   1  1   202  1  12  1  3.433777  1  1
6202   1  1   203  1  12  1   0.65387  2  2
6203   1  1   204  1  12  1  0.887695  0  0
6204   1  1   205  1  12  1  0.887756  1  1
6205   1  1   206  1  12  1  0.704468  2  2
6206   1  1   207  1  12  1  0.838562  0  0
6207   1  1   208  1  12  1  0.486694  1  1
6208   1  1   209  1  12  1  0.753357  2  2
6209   1  1   210  1  12  1  0.452576  0  0
6210   1  1   211  1  12  1  0.347229  1  1
6211   1  1   212  1  12  1  0.218933  2  2
6212   1  1   213  1  12  1  0.468811  0  0
6213   1  1   214  1  12  1  0.334717  1  1
6214   1  1   215  1  12  1  0.183106  2  2
6215   1  1   216  1  12  1  0.719788  0  0
6216   1  1   217  1  12  1  0.301697  1  1
6217   1  1   218  1  12  1  0.350586  2  2
6218   1  1   219  1  12  1  0.319153  0  1
6219   1  1   220  1  12  1  3.048706  1  1
6220   1  1   221  1  12  1    0.6026  2  2
6221   1  1   222  1  12  1  0.736206  0  1
6222   1  1   223  1  12  1  1.776123  2  1
6223   1  1   224  1  12  1  1.175598  2  2
6224   1  1   225  1  12  1  0.954041  2  1
6225   1  1   226  1  12  1  0.520142  2  1
6226   1  1   227  1  12  1  0.603882  2  2
6227   1  1   228  1  12  1  0.872315  1  0
6228   1  1   229  1  12  1  0.419434  1  1
6229   1  1   230  1  12  1  0.989502  0  2
6230   1  1   231  1  12  1  2.060913  2  0
6231   1  1   232  1  12  1   0.35083  2  1
6232   1  1   233  1  12  1  0.451721  2  2
6233   1  1   234  1  12  1    0.3172  2  0
6234   1  1   235  1  12  1  0.738281  2  1
6235   1  1   236  1  12  1  0.703003  2  2
6236   1  1   237  1  12  1  1.322144  1  0
6237   1  1   238  1  12  1  0.099121  1  1
6238   1  1   239  1  12  1  1.190613  2  2
6239   1  1   240  1  12  1  1.054871  0  0
6240   1  1   241  1  12  1  0.569153  1  1
6241   1  1   242  1  12  1  0.483215  2  2
6242   1  1   243  1  12  1  0.737427  0  1
6243   1  1   244  1  12  1  2.295898  0  1
6244   1  1   245  1  12  1  0.284668  1  2
6245   1  1   246  1  12  1  0.251221  2  0
6246   1  1   247  1  12  1  0.552124  2  1
6247   1  1   248  1  12  1  0.386719  2  2
6248   1  1   249  1  12  1  0.383362  2  0
6249   1  1   250  1  12  1  6.484131  2  1
6250   1  1   251  1  12  1  2.396912  0  2
6251   1  1   252  1  12  1  2.027283  0  0
6252   1  1   253  1  12  1  0.654114  1  1
6253   1  1   254  1  12  1  0.871277  2  2
6254   1  1   255  1  12  1  1.104614  0  1
6255   1  1   256  1  12  1  1.407654  0  1
6256   1  1   257  1  12  1  0.936707  1  2
6257   1  1   258  1  12  1  0.100403  2  0
6258   1  1   259  1  12  1  0.720825  2  1
6259   1  1   260  1  12  1  0.369446  2  2
6260   1  1   261  1  12  1  0.285278  2  0
6261   1  1   262  1  12  1  0.989807  1  1
6262   1  1   263  1  12  1  0.586609  2  2
