       0  1     2  3   4  5         6  7  8
7000   1  1     1  1  12  1  2.864899  2  0
7001   1  1     2  1  12  1  0.720505  1  1
7002   1  1     3  1  12  1  0.561707  0  2
7003   1  1     4  1  12  1  0.508591  0  0
7004   1  1     5  1  12  1  0.571808  1  1
7005   1  1     6  1  12  1  0.707794  2  2
7006   1  1     7  1  12  1  0.928101  1  0
7007   1  1     8  1  12  1  1.589111  1  1
7008   1  1     9  1  12  1  0.401306  2  2
7009   1  1    10  1  12  1  0.665405  0  0
7010   1  1    11  1  12  1  0.509598  2  1
7011   1  1    12  1  12  1  1.221191  2  2
7012   1  1    13  1  12  1  0.910996  0  0
7013   1  1    14  1  12  1  0.731995  1  1
7014   1  1    15  1  12  1  0.476807  2  2
7015   1  1    16  1  12  1  0.714905  0  1
7016   1  1    17  1  12  1  0.653412  1  1
7017   1  1    18  1  12  1  0.377808  0  2
7018   1  1    19  1  12  1    0.2827  2  0
7019   1  1    20  1  12  1  0.413498  1  1
7020   1  1    21  1  12  1  0.388901  0  2
7021   1  1    22  1  12  1  0.295303  0  1
7022   1  1    23  1  12  1  0.534897  1  1
7023   1  1    24  1  12  1  0.356094  2  2
7024   1  1    25  1  12  1  0.371796  0  0
7025   1  1    26  1  12  1  9.264404  0  1
7026   1  1    27  1  12  1  0.203796  1  2
7027   1  1    28  1  12  1  0.356705  1  0
7028   1  1    29  1  12  1  0.377701  2  1
7029   1  1    30  1  12  1  0.303589  1  2
7030   1  1    31  1  12  1  0.346695  2  0
7031   1  1    32  1  12  1  0.187408  0  1
7032   1  1    33  1  12  1  0.537399  0  2
7033   1  1    34  1  12  1   0.17421  0  1
7034   1  1    35  1  12  1  0.522293  2  1
7035   1  1    36  1  12  1  0.383301  1  2
7036   1  1    37  1  12  1  0.468201  0  1
7037   1  1    38  1  12  1  0.440979  2  1
7038   1  1    39  1  12  1  0.972809  2  2
7039   1  1    40  1  12  1  0.918579  0  0
7040   1  1    41  1  12  1  0.300995  0  1
7041   1  1    42  1  12  1  0.624207  2  2
7042   1  1    43  1  12  1  0.452301  0  0
7043   1  1    44  1  12  1   0.46109  1  1
7044   1  1    45  1  12  1    0.4357  2  2
7045   1  1    46  1  12  1  0.457001  1  0
7046   1  1    47  1  12  1  0.598206  1  1
7047   1  1    48  1  12  1  0.362305  2  2
7048   1  1    49  1  12  1  1.240387  0  1
7049   1  1    50  1  12  1  0.570313  0  1
7050   1  1    51  1  12  1  0.390503  2  2
7051   1  1    52  1  12  1   0.28241  0  0
7052   1  1    53  1  12  1  0.327087  1  1
7053   1  1    54  1  12  1  0.202576  2  2
7054   1  1    55  1  12  1  0.225708  0  0
7055   1  1    56  1  12  1  0.740692  0  1
7056   1  1    57  1  12  1  0.312286  2  2
7057   1  1    58  1  12  1  0.197601  1  1
7058   1  1    59  1  12  1  0.343323  0  1
7059   1  1    60  1  12  1   46.9823  2  2
7060   1  1    61  1  12  1  0.220184  1  0
7061   1  1    62  1  12  1  0.212708  0  1
7062   1  1    63  1  12  1  1.071625  0  2
7063   1  1    64  1  12  1  0.143585  0  1
7064   1  1    65  1  12  1   0.19989  1  1
7065   1  1    66  1  12  1  0.257721  2  2
7066   1  1    67  1  12  1  0.190094  2  0
7067   1  1    68  1  12  1    0.6633  2  1
7068   1  1    69  1  12  1  0.701202  2  2
7069   1  1    70  1  12  1   0.19281  1  0
7070   1  1    71  1  12  1  0.356384  1  1
7071   1  1    72  1  12  1  0.384491  2  2
7072   1  1    73  1  12  1  0.464478  0  0
7073   1  1    74  1  12  1  0.224091  1  1
7074   1  1    75  1  12  1  0.369995  2  2
7075   1  1    76  1  12  1  1.345001  0  0
7076   1  1    77  1  12  1  0.348816  1  1
7077   1  1    78  1  12  1   0.31839  2  2
7078   1  1    79  1  12  1  0.462006  0  1
7079   1  1    80  1  12  1  1.593201  0  1
7080   1  1    81  1  12  1  0.526886  0  2
