       0  1     2  3   4  5         6  7  8
20000  1  1     1  1  12  1  3.214798  2  1
20001  1  1     2  1  12  1    0.7677  0  2
20002  1  1     3  1  12  1  0.700501  1  0
20003  1  1     4  1  12  1  1.399605  0  1
20004  1  1     5  1  12  1  0.816399  2  2
20005  1  1     6  1  12  1  2.265991  1  0
20006  1  1     7  1  12  1  0.466507  0  1
20007  1  1     8  1  12  1  1.699493  2  2
20008  1  1     9  1  12  1   1.78331  0  0
20009  1  1    10  1  12  1  0.399307  1  1
20010  1  1    11  1  12  1  4.748993  2  2
20011  1  1    12  1  12  1  0.799393  0  0
20012  1  1    13  1  12  1  0.349609  1  1
20013  1  1    14  1  12  1  0.367188  2  2
20014  1  1    15  1  12  1  0.800003  0  0
20015  1  1    16  1  12  1  0.449799  1  1
20016  1  1    17  1  12  1  0.449692  2  2
20017  1  1    18  1  12  1  0.416992  1  0
20018  1  1    19  1  12  1  0.599686  0  1
20019  1  1    20  1  12  1  0.832794  1  2
20020  1  1    21  1  12  1  2.048904  0  0
20021  1  1    22  1  12  1  0.466599  1  1
20022  1  1    23  1  12  1  0.766205  2  2
20023  1  1    24  1  12  1  0.399994  0  0
20024  1  1    25  1  12  1  0.349609  1  1
20025  1  1    26  1  12  1  0.400009  2  2
20026  1  1    27  1  12  1  0.216309  1  1
20027  1  1    28  1  12  1  0.149307  0  1
20028  1  1    29  1  12  1    1.0327  2  2
20029  1  1    30  1  12  1  0.299301  0  1
20030  1  1    31  1  12  1  0.532898  2  1
20031  1  1    32  1  12  1  0.916489  2  2
20032  1  1    33  1  12  1   0.19989  1  1
20033  1  1    34  1  12  1  0.866196  2  1
20034  1  1    35  1  12  1   2.04921  2  2
20035  1  1    36  1  12  1  0.233597  1  1
20036  1  1    37  1  12  1  0.183197  1  1
20037  1  1    38  1  12  1  0.516403  2  2
20038  1  1    39  1  12  1  0.216599  1  0
20039  1  1    40  1  12  1  0.317291  2  1
20040  1  1    41  1  12  1  0.149887  1  2
20041  1  1    42  1  12  1  0.299606  2  0
20042  1  1    43  1  12  1  0.450104  2  1
20043  1  1    44  1  12  1  1.100006  1  2
20044  1  1    45  1  12  1  0.316895  2  0
20045  1  1    46  1  12  1  0.699097  1  1
20046  1  1    47  1  12  1  1.133194  2  2
20047  1  1    48  1  12  1  0.499497  0  0
20048  1  1    49  1  12  1  0.616592  1  1
20049  1  1    50  1  12  1  0.366394  2  2
20050  1  1    51  1  12  1  0.449097  0  0
20051  1  1    52  1  12  1  1.182907  1  1
20052  1  1    53  1  12  1  0.400009  2  2
20053  1  1    54  1  12  1  0.300598  0  1
20054  1  1    55  1  12  1  0.766495  2  1
20055  1  1    56  1  12  1  1.799103  0  2
20056  1  1    57  1  12  1  2.399994  1  1
20057  1  1    58  1  12  1  0.333496  2  1
20058  1  1    59  1  12  1  1.382904  0  2
20059  1  1    60  1  12  1  0.333313  1  0
20060  1  1    61  1  12  1  0.250107  1  1
20061  1  1    62  1  12  1  0.432999  1  2
20062  1  1    63  1  12  1  2.849396  1  1
