       0  1     2  3   4  5         6  7  8
17000  1  1     1  1  12  1  4.875687  0  0
17001  1  1     2  1  12  1  1.116592  1  1
17002  1  1     3  1  12  1  1.233292  0  2
17003  1  1     4  1  12  1  2.950104  1  0
17004  1  1     5  1  12  1  0.566788  2  1
17005  1  1     6  1  12  1  0.583298  0  2
17006  1  1     7  1  12  1  1.066711  1  1
17007  1  1     8  1  12  1  0.633194  2  1
17008  1  1     9  1  12  1  0.749908  0  2
17009  1  1    10  1  12  1  0.533493  2  1
17010  1  1    11  1  12  1  2.933304  1  1
17011  1  1    12  1  12  1  0.800003  2  2
17012  1  1    13  1  12  1    2.0168  2  0
17013  1  1    14  1  12  1  0.416702  0  1
17014  1  1    15  1  12  1  0.582993  1  2
17015  1  1    16  1  12  1  0.566605  2  0
17016  1  1    17  1  12  1  0.816895  0  1
17017  1  1    18  1  12  1  1.183197  1  2
17018  1  1    19  1  12  1  0.549805  0  0
17019  1  1    20  1  12  1    1.2332  1  1
17020  1  1    21  1  12  1  0.750107  2  2
17021  1  1    22  1  12  1  2.083298  1  0
17022  1  1    23  1  12  1  1.899704  1  1
17023  1  1    24  1  12  1  0.433106  2  2
17024  1  1    25  1  12  1  0.733597  0  0
17025  1  1    26  1  12  1  1.133194  2  1
17026  1  1    27  1  12  1  1.616898  2  2
17027  1  1    28  1  12  1  0.883408  1  0
17028  1  1    29  1  12  1  1.699997  2  1
17029  1  1    30  1  12  1    1.2668  1  2
17030  1  1    31  1  12  1  0.466797  0  0
17031  1  1    32  1  12  1  1.466614  2  1
17032  1  1    33  1  12  1  0.633408  1  2
17033  1  1    34  1  12  1  0.350006  0  0
17034  1  1    35  1  12  1  0.466293  1  1
17035  1  1    36  1  12  1  0.233597  2  2
17036  1  1    37  1  12  1  0.483109  0  0
17037  1  1    38  1  12  1   0.28299  1  1
17038  1  1    39  1  12  1   0.23349  2  2
17039  1  1    40  1  12  1  0.249893  0  0
17040  1  1    41  1  12  1  0.133102  1  1
17041  1  1    42  1  12  1      0.25  2  2
17042  1  1    43  1  12  1  0.233292  0  0
17043  1  1    44  1  12  1  0.100205  1  1
17044  1  1    45  1  12  1  0.283096  2  2
17045  1  1    46  1  12  1  0.233597  0  0
17046  1  1    47  1  12  1  0.316696  1  1
17047  1  1    48  1  12  1  0.232987  2  2
17048  1  1    49  1  12  1  0.333298  0  1
17049  1  1    50  1  12  1  0.933212  2  1
17050  1  1    51  1  12  1  0.733307  0  2
17051  1  1    52  1  12  1    0.5168  1  0
17052  1  1    53  1  12  1  0.500092  2  1
17053  1  1    54  1  12  1  0.649902  0  2
17054  1  1    55  1  12  1  0.266724  1  1
17055  1  1    56  1  12  1  0.300079  2  1
17056  1  1    57  1  12  1  0.399811  1  2
17057  1  1    58  1  12  1  0.149902  0  1
17058  1  1    59  1  12  1    0.4664  1  1
17059  1  1    60  1  12  1  0.483307  1  2
17060  1  1    61  1  12  1  0.900024  0  0
17061  1  1    62  1  12  1  0.416596  2  1
17062  1  1    63  1  12  1  0.216583  1  2
17063  1  1    64  1  12  1  0.216705  0  1
17064  1  1    65  1  12  1  0.683197  0  1
17065  1  1    66  1  12  1  0.833313  1  2
17066  1  1    67  1  12  1  0.716797  2  0
17067  1  1    68  1  12  1  0.299927  0  1
17068  1  1    69  1  12  1  0.349823  1  2
17069  1  1    70  1  12  1  0.100006  2  0
17070  1  1    71  1  12  1  0.299988  0  1
17071  1  1    72  1  12  1  0.349976  1  2
17072  1  1    73  1  12  1  2.233398  1  0
17073  1  1    74  1  12  1  0.566498  2  1
17074  1  1    75  1  12  1  0.416412  0  2
17075  1  1    76  1  12  1  0.366699  1  0
17076  1  1    77  1  12  1  0.616303  2  1
17077  1  1    78  1  12  1    1.4664  1  2
17078  1  1    79  1  12  1  0.033203  2  0
17079  1  1    80  1  12  1  0.149902  0  1
17080  1  1    81  1  12  1  1.800385  2  2
17081  1  1    82  1  12  1      0.75  0  1
17082  1  1    83  1  12  1  1.583405  2  1
17083  1  1    84  1  12  1  0.666718  1  2
17084  1  1    85  1  12  1  1.133606  1  1
17085  1  1    86  1  12  1  0.616699  1  1
17086  1  1    87  1  12  1  0.916809  0  2
17087  1  1    88  1  12  1  1.566589  2  1
17088  1  1    89  1  12  1  0.833588  1  1
17089  1  1    90  1  12  1  0.833191  2  2
17090  1  1    91  1  12  1  1.433197  0  0
17091  1  1    92  1  12  1  0.600006  1  1
17092  1  1    93  1  12  1  0.216797  1  2
17093  1  1    94  1  12  1  1.549896  0  0
17094  1  1    95  1  12  1  1.850098  1  1
17095  1  1    96  1  12  1  0.433014  2  2
17096  1  1    97  1  12  1  0.183411  0  1
17097  1  1    98  1  12  1  1.050201  0  1
17098  1  1    99  1  12  1  0.466705  1  2
17099  1  1   100  1  12  1  0.416901  2  0
17100  1  1   101  1  12  1  1.300079  1  1
17101  1  1   102  1  12  1  1.650085  1  2
17102  1  1   103  1  12  1  0.349701  1  0
17103  1  1   104  1  12  1  0.633301  0  1
17104  1  1   105  1  12  1  0.366608  2  2
17105  1  1   106  1  12  1  0.299988  0  0
17106  1  1   107  1  12  1  0.049896  1  1
17107  1  1   108  1  12  1  0.399994  2  2
17108  1  1   109  1  12  1  0.199982  0  0
17109  1  1   110  1  12  1  0.083374  1  1
17110  1  1   111  1  12  1  0.333405  2  2
17111  1  1   112  1  12  1   0.19989  0  0
17112  1  1   113  1  12  1  0.133209  1  1
17113  1  1   114  1  12  1  1.066589  2  2
17114  1  1   115  1  12  1  0.200104  0  0
17115  1  1   116  1  12  1  0.200104  1  1
17116  1  1   117  1  12  1  0.283295  2  2
17117  1  1   118  1  12  1  0.299988  0  0
17118  1  1   119  1  12  1  0.233307  1  1
17119  1  1   120  1  12  1  0.016602  2  2
17120  1  1   121  1  12  1  0.033295  0  0
17121  1  1   122  1  12  1       0.5  1  1
17122  1  1   123  1  12  1  0.033295  2  2
17123  1  1   124  1  12  1  0.050018  0  0
17124  1  1   125  1  12  1  0.149719  1  1
17125  1  1   126  1  12  1  0.133423  2  2
17126  1  1   127  1  12  1  0.116577  0  0
17127  1  1   128  1  12  1  0.649811  1  1
17128  1  1   129  1  12  1  0.016479  2  2
17129  1  1   130  1  12  1  0.049896  0  0
17130  1  1   131  1  12  1  0.466492  1  1
17131  1  1   132  1  12  1  0.366516  2  2
17132  1  1   133  1  12  1   0.06662  0  0
17133  1  1   134  1  12  1  0.383209  1  1
17134  1  1   135  1  12  1  0.183319  2  2
17135  1  1   136  1  12  1  0.132996  0  0
17136  1  1   137  1  12  1  0.533112  1  1
17137  1  1   138  1  12  1  0.150208  2  2
17138  1  1   139  1  12  1  0.033508  0  1
17139  1  1   140  1  12  1  2.716675  0  1
17140  1  1   141  1  12  1  0.316681  1  2
17141  1  1   142  1  12  1  0.616791  0  0
17142  1  1   143  1  12  1  0.883179  1  1
17143  1  1   144  1  12  1  0.399994  1  2
17144  1  1   145  1  12  1  0.183289  1  0
17145  1  1   146  1  12  1   0.44989  2  1
17146  1  1   147  1  12  1  0.400024  0  2
17147  1  1   148  1  12  1  0.533295  1  0
17148  1  1   149  1  12  1  0.066803  2  1
17149  1  1   150  1  12  1  0.699982  0  2
17150  1  1   151  1  12  1  1.316498  1  0
17151  1  1   152  1  12  1  0.616486  1  1
17152  1  1   153  1  12  1  0.549896  2  2
17153  1  1   154  1  12  1  0.150116  0  0
17154  1  1   155  1  12  1  0.199799  1  1
17155  1  1   156  1  12  1  0.333221  2  2
17156  1  1   157  1  12  1  0.183289  0  0
17157  1  1   158  1  12  1  0.316681  1  1
17158  1  1   159  1  12  1  0.399902  2  2
17159  1  1   160  1  12  1  0.116699  0  1
17160  1  1   161  1  12  1  1.649689  0  1
17161  1  1   162  1  12  1  0.649811  2  2
17162  1  1   163  1  12  1  0.849793  1  0
17163  1  1   164  1  12  1  0.516693  1  1
17164  1  1   165  1  12  1  0.366699  1  2
17165  1  1   166  1  12  1  0.316589  2  0
17166  1  1   167  1  12  1  0.216705  0  1
17167  1  1   168  1  12  1       1.0  1  2
17168  1  1   169  1  12  1  0.066711  2  0
17169  1  1   170  1  12  1  0.283295  0  1
17170  1  1   171  1  12  1  0.183197  1  2
17171  1  1   172  1  12  1  1.199921  1  0
17172  1  1   173  1  12  1  0.016479  1  1
17173  1  1   174  1  12  1  0.399811  2  2
17174  1  1   175  1  12  1  0.100006  0  1
17175  1  1   176  1  12  1       1.0  0  1
17176  1  1   177  1  12  1  0.349823  0  2
17177  1  1   178  1  12  1  0.183319  2  1
17178  1  1   179  1  12  1  0.216492  1  1
17179  1  1   180  1  12  1  1.766479  0  2
17180  1  1   181  1  12  1  0.216583  2  0
17181  1  1   182  1  12  1  0.299927  0  1
17182  1  1   183  1  12  1  0.266724  1  2
17183  1  1   184  1  12  1  1.049805  0  0
17184  1  1   185  1  12  1  0.366882  2  1
17185  1  1   186  1  12  1  0.799683  2  2
17186  1  1   187  1  12  1  0.900024  0  0
17187  1  1   188  1  12  1  0.050049  1  1
17188  1  1   189  1  12  1  0.133362  2  2
17189  1  1   190  1  12  1  0.183167  0  0
17190  1  1   191  1  12  1  0.099915  1  1
17191  1  1   192  1  12  1  0.199646  2  2
17192  1  1   193  1  12  1  0.266724  0  0
17193  1  1   194  1  12  1  0.183289  1  1
17194  1  1   195  1  12  1  0.150085  2  2
17195  1  1   196  1  12  1  0.316528  0  1
17196  1  1   197  1  12  1  1.833313  0  1
17197  1  1   198  1  12  1  0.499878  2  2
17198  1  1   199  1  12  1  4.016663  1  0
17199  1  1   200  1  12  1  0.733398  1  1
17200  1  1   201  1  12  1  0.216309  1  2
17201  1  1   202  1  12  1   0.46637  0  0
17202  1  1   203  1  12  1  0.633301  2  1
17203  1  1   204  1  12  1  0.400085  2  2
17204  1  1   205  1  12  1  0.066711  0  0
17205  1  1   206  1  12  1   0.21637  1  1
17206  1  1   207  1  12  1  0.466736  2  2
17207  1  1   208  1  12  1  0.216675  0  0
17208  1  1   209  1  12  1  0.233276  1  1
17209  1  1   210  1  12  1  0.550171  2  2
17210  1  1   211  1  12  1  0.133423  0  0
17211  1  1   212  1  12  1  0.366577  1  1
17212  1  1   213  1  12  1  0.083191  2  2
17213  1  1   214  1  12  1  0.166626  0  0
17214  1  1   215  1  12  1  0.816773  1  1
17215  1  1   216  1  12  1  0.466553  2  2
17216  1  1   217  1  12  1  0.049927  0  0
17217  1  1   218  1  12  1  0.366699  1  1
17218  1  1   219  1  12  1  0.149963  2  2
17219  1  1   220  1  12  1  0.300171  0  0
17220  1  1   221  1  12  1  0.233337  1  1
17221  1  1   222  1  12  1  0.533386  2  2
17222  1  1   223  1  12  1  0.283264  0  0
17223  1  1   224  1  12  1   0.15033  1  1
17224  1  1   225  1  12  1  0.166687  2  2
17225  1  1   226  1  12  1   0.30011  0  0
17226  1  1   227  1  12  1  0.199951  1  1
17227  1  1   228  1  12  1  0.233215  2  2
17228  1  1   229  1  12  1  0.516602  0  0
17229  1  1   230  1  12  1  0.033386  1  1
17230  1  1   231  1  12  1  0.466492  2  2
17231  1  1   232  1  12  1  0.133362  0  0
17232  1  1   233  1  12  1  0.549988  1  1
17233  1  1   234  1  12  1  0.016785  2  2
17234  1  1   235  1  12  1  0.683289  0  1
17235  1  1   236  1  12  1  1.466553  0  1
17236  1  1   237  1  12  1  1.033386  1  2
17237  1  1   238  1  12  1   1.55011  0  0
17238  1  1   239  1  12  1   0.61676  1  1
17239  1  1   240  1  12  1  0.099854  2  2
17240  1  1   241  1  12  1  0.616516  0  1
17241  1  1   242  1  12  1  1.099731  1  1
17242  1  1   243  1  12  1  0.033264  2  2
17243  1  1   244  1  12  1  1.400208  2  0
17244  1  1   245  1  12  1  1.099915  1  1
17245  1  1   246  1  12  1  0.350037  2  2
17246  1  1   247  1  12  1   0.01709  0  0
17247  1  1   248  1  12  1  0.250183  1  1
17248  1  1   249  1  12  1  0.099915  2  2
17249  1  1   250  1  12  1  0.266541  0  0
17250  1  1   251  1  12  1  0.200012  1  1
17251  1  1   252  1  12  1  0.233398  2  2
17252  1  1   253  1  12  1  0.283447  0  0
17253  1  1   254  1  12  1  0.483276  1  1
17254  1  1   255  1  12  1  0.183167  2  2
17255  1  1   256  1  12  1  0.433411  0  0
17256  1  1   257  1  12  1   0.55011  1  1
17257  1  1   258  1  12  1  0.616882  2  2
17258  1  1   259  1  12  1  1.016724  0  0
17259  1  1   260  1  12  1  0.250061  1  1
17260  1  1   261  1  12  1  0.433289  2  2
17261  1  1   262  1  12  1  0.216492  0  0
17262  1  1   263  1  12  1  0.233276  1  1
17263  1  1   264  1  12  1  0.083313  2  2
17264  1  1   265  1  12  1   0.30011  0  0
17265  1  1   266  1  12  1  0.699829  1  1
17266  1  1   267  1  12  1  0.466675  2  2
17267  1  1   268  1  12  1  0.133301  0  1
17268  1  1   269  1  12  1  1.033386  0  1
17269  1  1   270  1  12  1  0.433533  1  2
17270  1  1   271  1  12  1   0.53302  0  0
17271  1  1   272  1  12  1  0.849976  2  1
17272  1  1   273  1  12  1  0.650024  0  2
17273  1  1   274  1  12  1  1.016602  1  0
17274  1  1   275  1  12  1  0.149902  1  1
17275  1  1   276  1  12  1  0.033203  2  2
17276  1  1   277  1  12  1  0.916626  0  0
17277  1  1   278  1  12  1   0.11676  1  1
17278  1  1   279  1  12  1  0.016479  2  2
17279  1  1   280  1  12  1   0.19989  0  0
17280  1  1   281  1  12  1  0.499878  1  1
17281  1  1   282  1  12  1  0.483276  2  2
17282  1  1   283  1  12  1  0.183411  0  1
17283  1  1   284  1  12  1  1.349792  2  1
17284  1  1   285  1  12  1  0.233582  1  2
17285  1  1   286  1  12  1  0.450134  0  0
17286  1  1   287  1  12  1   0.51648  1  1
17287  1  1   288  1  12  1  0.366699  2  2
17288  1  1   289  1  12  1  0.549744  0  0
17289  1  1   290  1  12  1  0.299683  1  1
17290  1  1   291  1  12  1  0.133301  2  2
17291  1  1   292  1  12  1  0.066528  0  1
17292  1  1   293  1  12  1  0.666687  1  1
17293  1  1   294  1  12  1  0.133301  2  2
17294  1  1   295  1  12  1  0.083435  1  0
17295  1  1   296  1  12  1  1.066589  1  1
17296  1  1   297  1  12  1  0.416748  2  2
17297  1  1   298  1  12  1  0.183228  0  0
17298  1  1   299  1  12  1  0.183167  1  1
17299  1  1   300  1  12  1  0.216614  2  2
17300  1  1   301  1  12  1  0.199829  0  1
17301  1  1   302  1  12  1  1.549927  1  1
17302  1  1   303  1  12  1  0.483154  2  2
17303  1  1   304  1  12  1  1.033264  1  0
17304  1  1   305  1  12  1  0.016663  1  1
17305  1  1   306  1  12  1  2.333313  2  2
17306  1  1   307  1  12  1  0.766357  1  1
17307  1  1   308  1  12  1  0.016418  0  1
17308  1  1   309  1  12  1      0.75  0  2
17309  1  1   310  1  12  1  0.816589  1  1
17310  1  1   311  1  12  1  0.133179  2  1
17311  1  1   312  1  12  1  0.832947  1  2
17312  1  1   313  1  12  1  0.466614  0  0
17313  1  1   314  1  12  1  0.216736  2  1
17314  1  1   315  1  12  1  0.516724  2  2
17315  1  1   316  1  12  1  0.150147  0  1
17316  1  1   317  1  12  1  0.649902  0  1
17317  1  1   318  1  12  1  0.266419  1  2
