0,1,2,3,4,5,6,7
1,1,1,12,1,4.378099,0,2
1,1,2,12,1,2.3181,1,0
1,1,3,12,1,2.216297,1,1
1,1,4,12,1,2.250298,1,2
1,1,5,12,1,0.883598,0,0
1,1,6,12,1,0.415501,1,1
1,1,7,12,1,0.667301,2,2
1,1,8,12,1,0.448402,0,0
1,1,9,12,1,0.265904,1,1
1,1,10,12,1,0.6157,2,2
1,1,11,12,1,0.266701,0,0
1,1,12,12,1,0.2826,1,1
1,1,13,12,1,0.382103,2,2
1,1,14,12,1,0.167099,0,0
1,1,15,12,1,0.199997,1,1
1,1,16,12,1,0.282898,2,2
1,1,17,12,1,0.199898,0,0
1,1,18,12,1,0.231995,1,1
1,1,19,12,1,0.317001,2,2
1,1,20,12,1,0.0989,0,0
1,1,21,12,1,0.167198,1,1
1,1,22,12,1,0.182304,2,2
1,1,23,12,1,0.282402,0,0
1,1,24,12,1,0.216103,1,1
1,1,25,12,1,0.133102,2,2
1,1,26,12,1,0.065994,0,0
1,1,27,12,1,0.548996,1,1
1,1,28,12,1,0.1325,2,2
1,1,29,12,1,0.049599,0,1
1,1,30,12,1,8.249001,0,1
1,1,31,12,1,2.049896,0,2
1,1,32,12,1,1.715797,1,0
1,1,33,12,1,4.617195,2,1
1,1,34,12,1,1.0,2,2
1,1,35,12,1,0.599495,1,0
1,1,36,12,1,2.5989,0,1
1,1,37,12,1,0.350502,1,2
1,1,38,12,1,0.216301,1,0
1,1,39,12,1,0.333206,0,1
1,1,40,12,1,1.316101,2,2
1,1,41,12,1,5.167,0,0
1,1,42,12,1,0.181198,1,1
1,1,43,12,1,0.148193,1,2
1,1,44,12,1,1.650803,0,1
1,1,45,12,1,0.966812,0,1
1,1,46,12,1,0.266693,0,2
1,1,47,12,1,0.901001,0,1
1,1,48,12,1,0.599686,0,1
1,1,49,12,1,2.099106,2,2
1,1,50,12,1,0.3004,1,0
1,1,51,12,1,2.2995,1,1
1,1,52,12,1,0.215805,1,2
1,1,53,12,1,0.431793,1,0
1,1,54,12,1,0.633698,2,1
1,1,55,12,1,0.73259,1,2
1,1,56,12,1,0.4832,0,0
1,1,57,12,1,0.283203,1,1
1,1,58,12,1,1.282394,2,2
1,1,59,12,1,1.200806,0,0
1,1,60,12,1,0.250397,1,1
1,1,61,12,1,0.71579,1,2
1,1,62,12,1,0.249497,0,0
1,1,63,12,1,0.131699,1,1
1,1,64,12,1,0.2659,2,2
1,1,65,12,1,0.182694,0,0
1,1,66,12,1,0.232407,1,1
1,1,67,12,1,0.365906,2,2
1,1,68,12,1,0.083603,0,1
1,1,69,12,1,2.483795,1,1
1,1,70,12,1,0.283203,0,2
1,1,71,12,1,1.632095,0,0
1,1,72,12,1,0.182999,1,1
1,1,73,12,1,0.200089,1,2
1,1,74,12,1,0.567886,0,0
1,1,75,12,1,0.150101,1,1
1,1,76,12,1,0.815399,1,2
1,1,77,12,1,0.199814,0,0
1,1,78,12,1,0.134598,1,1
1,1,79,12,1,0.100006,1,2
1,1,80,12,1,0.08371,0,1
1,1,81,12,1,0.348999,0,1
1,1,82,12,1,0.899597,0,2
1,1,83,12,1,0.299088,0,0
1,1,84,12,1,0.717606,1,1
1,1,85,12,1,0.165802,1,2
1,1,86,12,1,0.866913,1,0
1,1,87,12,1,0.615311,1,1
1,1,88,12,1,1.033401,2,2
1,1,89,12,1,0.200501,0,0
1,1,90,12,1,0.215302,1,1
1,1,91,12,1,0.534195,2,2
1,1,92,12,1,0.147995,0,0
1,1,93,12,1,0.150803,1,1
1,1,94,12,1,0.149689,2,2
1,1,95,12,1,0.116486,0,0
1,1,96,12,1,0.133392,1,1
1,1,97,12,1,0.148789,2,2
1,1,98,12,1,0.1474,0,1
1,1,99,12,1,1.26619,0,1
1,1,100,12,1,0.733994,2,2
1,1,101,12,1,0.149399,0,1
1,1,102,12,1,0.449112,0,1
1,1,103,12,1,0.166596,0,2
1,1,104,12,1,0.398285,0,0
1,1,105,12,1,0.166504,1,1
1,1,106,12,1,0.383789,1,2
1,1,107,12,1,1.651276,1,0
1,1,108,12,1,0.400513,1,1
1,1,109,12,1,0.316498,1,2
1,1,110,12,1,0.400208,0,0
1,1,111,12,1,0.181976,1,1
1,1,112,12,1,0.847504,1,2
1,1,113,12,1,0.48291,1,0
1,1,114,12,1,0.03299,0,1
1,1,115,12,1,0.634308,1,2
1,1,116,12,1,0.201325,0,1
1,1,117,12,1,0.400482,0,1
1,1,118,12,1,0.601288,2,2
1,1,119,12,1,0.1987,0,1
1,1,120,12,1,0.300293,1,1
1,1,121,12,1,0.3349,0,2
1,1,122,12,1,0.283905,2,0
1,1,123,12,1,0.716583,0,1
1,1,124,12,1,0.151306,1,2
1,1,125,12,1,0.748413,2,0
